"key","message","comment","context"
"${label} move lines","Строки записи: ${метка}",,
"%","%",,
"% to match any character (one or more)","% для замены любым символом(символами)",,
"%d account treated successfully,","%d учетная запись успешно обработана.",,
"%d accounting move(s) successfully generated.","%d успешно сгенерированные бухгалтерские записи(записи).",,
"%d accounts treated successfully,","%d успешно обработанные учетные записи.",,
"%d anomalies.","%d аномалии.",,
"%d anomaly.","%D аномалия.",,
"%d email(s) sent.","%d отправленные электронные письма.",,
"%d invoice treated successfully,","%d счет успешно обработан.",,
"%d invoices treated successfully,","%d счета-фактуры успешно обработаны.",,
"%d moves couldn't be deleted or archived, please check the logs.","""%D записи не удалось удалить или заархивировать, пожалуйста, проверьте журналы"".",,
"%d reimbursement created successfully,","""%d возврат средств успешно создан"",",,
"%d reimbursements created successfully,","%d возврат средств успешно создан.",,
"%s - Invoice date can't be in the future.","%s - дата выставления счета не может быть в будущем.",,
"%s : A customer account is missing for the company %s","%s : отсутствует учетная запись клиента для компании %s",,
"%s : A header record is missing in the file %s","%s : отсутствует запись заголовка в файле %s",,
"%s : A record is missing in the file %s","%s : отсутствует конечная запись в файле %s",,
"%s : A supplier account is missing for the company %s","%s : отсутствует учетная запись поставщика для компании %s",,
"%s : Anomaly detected (the record doesn't have %s characters : %s) for the record %s, company %s","%s : обнаружена аномалия (в записи нет % s символов: %s) для записи %s, компания %s",,
"%s : Anomaly detected (value isn't numeric : %s) for sender","%s : обнаружена аномалия (значение не является числовым: %s) для отправителя",,
"%s : Anomaly detected (value isn't numeric : %s) for the receiver","%s: обнаружена аномалия (значение не является числовым: %s) для получателя",,
"%s : Anomaly detected (value isn't numeric : %s) for the total","%s : обнаруженная аномалия (значение не является числовым: %s) для общей суммы",,
"%s : Bank statement line %s amount can't be null","%s : сумма линии сверки %s не может быть равна 0.",,
"%s : Caution, payment entry nb %s, total line's amount imputed is higher than customer's amount paid.","%s: внимание, ввод платежа № %s, общая сумма начисленных сумм за строку превышает сумму, уплаченную клиентом",,
"%s : Computed balance and Ending Balance must be equal","%s : расчетный баланс и итоговый баланс должны быть равны.",,
"%s : Currency missing","%s: валюта отсутствует",,
"%s : Error : You must configure a bank details for the company %s and a payment mode %s","%s: ошибка : пожалуйста, настройте RIB для компании %s и способ оплаты %s",,
"%s : Error : You must configure a company for the batch configurator %s","%s : ошибка : пожалуйста, настройте компанию для пакетного конфигуратора %s",,
"%s : Error : You must configure a credit note interface sequence for the company %s","%s : ошибка : пожалуйста, настройте последовательность интерфейс иметь для компании %s",,
"%s : Error : You must configure a custom account reporting sequence for the company %s","%s : ошибка: пожалуйста, настройте последовательность пользовательских бухгалтерских отчетов для компании %s",,
"%s : Error : You must configure a direct debit date for the %s batch configuration","%s: ошибка : пожалуйста, настройте дату выборки для пакетной конфигурации %s",,
"%s : Error : You must configure a due date for the batch configurator %s","%s : ошибка : пожалуйста, настройте дату окончания для пакетного конфигуратора %s",,
"%s : Error : You must configure a journal for the company %s and a payment mode %s","%s : ошибка: пожалуйста настроить журнал для компании %s и способа оплаты %s",,
"%s : Error : You must configure a purchase interface sequence for the company %s","%s : ошибка : пожалуйста, настройте последовательность интерфейса покупки для компании %s",,
"%s : Error : You must configure a reconciliation sequence for the company %s","%s : ошибка : пожалуйста, настройте последовательность согласования для компании %s",,
"%s : Error : You must configure a reported balance journal in the account configuration for the batch configurator %s","%s: ошибка : пожалуйста, настройте журнал от нового к новому для настроенного пакета %s.",,
"%s : Error : You must configure a result loss account and a year opening account in the account configuration","%s : ошибка: пожалуйста, настройте отчет о прибылях и убытках (убыток) и начальный финансовый счет в конфигурации бухгалтерского учета.",,
"%s : Error : You must configure a result profit account and a year opening account in the account configuration","%s : ошибка : пожалуйста, настройте отчет о прибылях и убытках (прибыль) и начальный финансовый счет в конфигурации бухгалтерского учета.",,
"%s : Error : You must configure a sale interface sequence for the company %s","%s: ошибка : пожалуйста, настройте последовательность интерфейса продаж для компании %s",,
"%s : Error : You must configure a sequence for the company %s and a payment mode %s","%s: ошибка : пожалуйста, настройте последовательность для компании %s и способа оплаты %s",,
"%s : Error : You must configure a treasury interface sequence for the company %s","%s: ошибка: пожалуйста, настройте последовательность интерфейса денежных средств для компании %s",,
"%s : Error : You must configure a weight table in general configuration","%s: ошибка : пожалуйста, настройте таблицу весов в общем администрировании",,
"%s : Error : You must configure a year for the batch configurator %s","%s : ошибка: пожалуйста, настройте отчетный год для пакетного конфигуратора %s",,
"%s : Error : You must configure accounts for the batch configurator %s","%s : ошибка : пожалуйста, настройте учетные записи для пакетный конфигуратор %s",,
"%s : Error : You must configure an account export sequence for the company %s","%s: ошибка : пожалуйста, настройте последовательность учета экспорта для компании %s",,
"%s : Error : You must configure an account reporting sequence for the company %s","%s : ошибка : пожалуйста, настройте последовательность бухгалтерской отчетности для компании %s",,
"%s : Error : You must configure an analytic report sequence for the company %s","%s: ошибка: пожалуйста, настройте последовательность аналитических отчетов для компании %s",,
"%s : Error : You must configure an export type for the batch configurator %s","%s : ошибка: пожалуйста, настройте тип экспорта для пакетного конфигуратора %s",,
"%s : Error : You must, at first, create timetable lines for the timetable %s","%s : ошибка : пожалуйста, сначала создайте строки расписания для расписания %s %s : ошибка обнаружена во время выполнениязапись в",,
"%s : Error detected during CFONB file's writing : %s","файл CFONB: %s",,
"%s : Error generated on invoice creation shift to irrecoverable %s","%s : ошибка, возникшая при создании записи о невозможности восстановления %s",,
"%s : Invoice's type is not filled %s","%s : Тип счета-фактуры не заполнен %s",,
"%s : Invoicing address missing","%s : платежный адрес отсутствует",,
"%s : Letter template missing for debt recovery matrix %s (Partner %s, Level %s).","""%s : шаблон отсутствующей почты для матрицы наложения %s (третий %s, уровень %s)"".",,
"%s : MoveLine amount is not equals with bank statement line %s","%s : сумма записи должна быть равна сумме строки сверки %s.",,
"%s : No debt recovery method has been found for the company %s and the category %s %s (Partner %s)","%s : не удалось найти метод возмещения для компании %s и категории %s %s (сторонние %s)",,
"%s : No payment mode found for the code %s and the company %s","%s : способ оплаты не найден для кода %s и компании %s",,
"%s : No timetable nor invoice found for the direct debit number : %s","%s : график платежа или счет-фактура не найдены для номера дебета: %s",,
"%s : One or several detail records are missing in the file %s","%s : в файле отсутствует одна или несколько записей подробности %s",,
