"key","message","comment","context"
"#,###.00","#,###.00",,
"${fullName} variants","${fullName} варианты",,
"%D : Day",,,
"%FM : Full Month (01, 02, 03, ...)","%FM : Полный месяц (01, 02, 03, ...)",,
"%M : Month (1, 2, 3, ...)","%M : Месяц (1, 2, 3, ...)",,
"%WY : Week number","%WY : Номер недели",,
"%YY : Year (17)","%YY : год (17)",,
"%YYYY : Full Year (2017)","%YYYY : Полный год (2017)",,
"%d anomalies.",,,
"%d anomaly.",,,
"%d record processed successfully,",,,
"%d records processed successfully,",,,
"%s : Path to Birt template is incorrect","%s : Путь к шаблону Birt неверен.",,
"%s : Please, configure a currency for the company %s","%s : Пожалуйста, настройте валюту для компании %s",,
"%s SIRET Number required. Please configure SIRET Number for partner %s","%s Требуется номер SIRET. Пожалуйста, настройте номер SIRET для партнера %s",,
"%s address processed","%s адрес обработан",,
"%s addresses processed","%s адреса обработаны",,
"%s cell is not valid.",", %s ячейка недействительна.",,
"%s configuration file is not exist.","%s файл конфигурации не существует.",,
"%s file not found in %s.","%s файл не найден в %s.",,
"%s files imported","%s файлы, импортированные",,
"%s module does not exist.","%s модулем, не существуют.",,
"%s row must not be empty.","строка %s не должна быть пустой.",,
"%s user processed","%s обработанный пользователем",,
"%s users processed","%s обработанный пользователями",,
"%s was not found in the standard application.","%s не был найден в стандартном приложении.",,
"'%s' field for '%s' is invalid.","Поле '%s' для '%s' неверно.",,
"'OneToMany' and 'ManyToMany' fields doesn't allowed","Поля 'OneToMany' и 'ManyToMany' недопустимы",,
"'OneToMany' field doesn't allowed",", поля 'OneToMany' недопустимы",,
"(AUX)","(AUX)",,
"(L')","(L')",,
"(LA)","(LA)",,
"(LE)","(LE)",,
"(LES)","(LES)",,
"(LOS)","(LOS)",,
"* %s anomaly(ies)","* % аномалий(ий)",,
"- Not null :","- Не null :",,
"- Succeeded :","- Успешно выполнено :",,
". Using those keys will result in a Invalid private key error",,,
"00","00",,
"01","01",,
"02","02",,
"03","03",,
"04","04",,
"05","05",,
"06","06",,
"07","07",,
"08","08",,
"09","09",,
"1","1",,
"1 Month","1 месяц",,
"1 Year","1 год",,
"10","10",,
"11","11",,
"12","12",,
"13","13",,
"14","14",,
"15","15",,
"16","16",,
"17","17",,
"18","18",,
"19","19",,
"1st Period From","1-й период с",,
"2","2",,
"2 Months","2 Месяца",,
"20","20",,
"21","21",,
"22","22",,
"23","23",,
"24","24",,
"25","25",,
"26","26",,
"27","27",,
"28","28",,
"2nd Period From","2-й период От",,
"3","3",,
"3 Months","3 Месяца",,
"4","4",,
"5","5",,
"6","6",,
"6 Months","6 Месяцев",,
"7","7",,
"8","8",,
"9","9",,
"<",,,
"<><Badge bg=""warning"">Alias are mandatory inside the jpql queries</Badge></>","<><Badge bg=""warning"">Псевдонимы обязательны для использования в запросах jpql</Badge></>",,
"<><Badge bg=""warning"">Invalid IBAN</Badge></>","<><Badge bg=""warning"">Недействительный IBAN</Badge></>",,
"<><Badge bg=""warning"">Please add an invoice address and a delivery address by default.</Badge></>","<><Badge bg=""warning"">Пожалуйста, добавьте адрес для выставления счета и адрес доставки по умолчанию.</Badge></>",,
"<><Badge bg=""warning"">There is already a contact with this name.</Badge></>","<><Badge bg=""warning"">Контакт с этим именем уже есть.</Badge></>",,
"<><Badge bg=""warning"">There is already a partner with this name.</Badge></>","<><Badge bg=""warning"">Уже есть партнер с таким названием.</Badge></>",,
"<B>%s</B> not found","<B>%s</B> Не найдено",,
"<a class='fa fa-facebook' href='http://www.facebook.com' target='_blank' />",,,
"<a class='fa fa-google' href='http://www.google.com' target='_blank' />",,,
"<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />",,,
"<a class='fa fa-twitter' href='http://www.twitter.com' target='_blank' />",,,
"<a class='fa fa-youtube' href='http://www.youtube.com' target='_blank' />",,,
"<br/>Example:<br/>Start unit : m3<br/>End unit : kg<br/><strong>$Product.netMass$ / $Product.articleVolume$</strong><br/>","<br/>Пример:<br/>Start unit : m3<br/>End unit : kg<br/><strong>$Product.netMass$ / $Product.articleVolume$</strong><br/>",,
"<br>Mapping for the query :<br>First Name -> :firstName <br>Last Name -> :lastName <br>Email -> :email <br>Phone -> :phone <br>","<br>Отображение для запроса:<br>Имя -> :firstName <br>Фамилия -> :lastName <br>Email -> :email <br>Телефон -> :phone <br>",,
"=",,,
">",,,
"A product of type service can't be procured from stock.","Продукт типа service не может быть приобретен на складе.",,
"A user with this login already exists.","Пользователь с таким логином уже существует.",,
"A.T.I. by default","A.T.I. по умолчанию",,
"ABC Analysis","ABC-анализ",,
"ABC Analysis N°","Номер ABC-анализа",,
"ABC Analysis line","Строка ABC-анализа",,
"ABC Analysis lines","Строки ABC-анализа",,
"ABC Classes","Классы ABC",,
"ABC class","Класс ABC",,
"ABC classes","Классы ABC",,
"ARTMIN","ARMIN",,
"AZTEC","AZTEC",,
"AbcAnalysis.analysisResult","Результат анализа",,
"AbcAnalysis.company","компания",,
"AbcAnalysis.createdBy","Сделано:",,
"AbcAnalysis.description","Описание:",,
"AbcAnalysisLine.category","Категория",,
"AbcAnalysisLine.class","Класс",,
"AbcAnalysisLine.code","Код",,
"AbcAnalysisLine.cumulatedQty","Накопленное количество",,
"AbcAnalysisLine.cumulatedWorth","Накопленная стоимость",,
"AbcAnalysisLine.name","Имя",,
