"key","message","comment","context"
"$budgetExceedAlert",,,
"<><Badge bg=""warning"">You need to save the budget before manage budget lines on periods</Badge></>","<><Значок bg=""предупреждение "" >пожалуйста, сделайте резервную копию бюджета, прежде чем вы сможете управлять бюджетными строками по периодам< / значок></>",,
"<span class='label label-warning'>To activate this option, you need to disable budget key first in account configurations of companies.</span>","<span class= 'label label-warning' >Чтобы включить эту опцию, вы должны сначала отключить бюджетный ключ в конфигурация бухгалтерского учета компаний.</span>",,
"<span class='label label-warning'>To activate this option, you need to disable project management first in budget configuration.</span>","<span class='label label-warning'>Чтобы включить эту опцию, сначала необходимо отключить управление проектами в конфигурации бюджета.< / span>",,
"A budget distribution has already been generated. By launching this action, the budget distribution table will be cleared and re-computed. Do you want to proceed ?","Распределение бюджета уже сформировано. Возобновив это действие, вы потеряете прежнее распределение бюджета. Вы бы хотели продолжить ?",,
"Account","Учетные записи",,
"Account configuration","Настройка бухгалтерского учета",,
"Account model","Модель учетной записи",,
"Account models","Модель учетной записи",,
"Account move","Бухгалтерская запись",,
"Account(s)","Счет(счета) бухгалтера(ов)",,
"Accounting.Account",,,
"AccountingReportType25.balance","Остаток",,
"AccountingReportType25.company","Компания",,
"AccountingReportType25.currency","Валюта",,
"AccountingReportType25.date","Предполагаемая",,
"AccountingReportType25.expectedAmt","сумма",,
"AccountingReportType25.expenditure","Расходы",,
"AccountingReportType25.from","разрыв",,
"AccountingReportType25.gap","реальная сумма",,
"AccountingReportType25.realizedAmt","Поступления",,
"AccountingReportType25.revenue","Поступления/Расходы",,
"AccountingReportType25.revenueOrExpenditure","Составленный отчет о доходах и расходах",,
"AccountingReportType25.title","Общая",,
"AccountingReportType25.to","сумма расходов",,
"AccountingReportType25.totalExpenditure","Общий объем поступлений",,
"AccountingReportType25.totalRevenue","за год",,
"AccountingReportType25.year",,,
"Active","Активная версия",,
"Active Version","Строка активной версии",,
"Active version expected amounts line","шаблон расширенного экспорта бюджетной строки",,
"Advance export budget","Шаблон расширенного экспорта раздела",,
"Advance export budget level","Модель расширенного экспорта бюджетной статьи",,
"Advance export budget line","Модель расширенного экспорта из общего бюджета",,
"Advance export global budget",,,
"All",,,
"Amount","Сумма для каждой строки",,
"Amount for each line","Аналитическая ось по компаниям",,
"Analytic Axis By Company","Аналитическая ось по компаниям",,
"Analytic Axis By company",,,
"Analytic account",,,
"Analytic axis",,,
"App",,,
"App budget","Применять ко всем",,
"Apply to all","Архивированный",,
