"key","message","comment","context"
"${label} move lines","${label} перемещение строк",,
"%","%",,
"% to match any character (one or more)","% для замены любым символом(символами)",,
"%d account treated successfully,","%d учетная запись успешно обработана.",,
"%d accounting move(s) successfully generated.","%d успешно сгенерированные бухгалтерские записи(записи).",,
"%d accounts treated successfully,","%d успешно обработанные учетные записи.",,
"%d anomalies.","%d аномалии.",,
"%d anomaly.","%D аномалия.",,
"%d email(s) sent.","%d отправленные электронные письма.",,
"%d invoice treated successfully,","%d счет успешно обработан.",,
"%d invoices treated successfully,","%d счета-фактуры успешно обработаны.",,
"%d moves couldn't be deleted or archived, please check the logs.","%d записи не удалось удалить или заархивировать, пожалуйста, проверьте журналы.",,
"%d reimbursement created successfully,","%d возврат средств успешно создан,",,
"%d reimbursements created successfully,","%d возврат средств успешно создан.",,
"%s - Invoice date can't be in the future.","%s - дата выставления счета не может быть в будущем.",,
"%s : A customer account is missing for the company %s","%s : отсутствует учетная запись клиента для компании %s",,
"%s : A header record is missing in the file %s","%s : отсутствует запись заголовка в файле %s",,
"%s : A record is missing in the file %s","%s : отсутствует конечная запись в файле %s",,
"%s : A supplier account is missing for the company %s","%s : отсутствует учетная запись поставщика для компании %s",,
"%s : Anomaly detected (the record doesn't have %s characters : %s) for the record %s, company %s","%s : обнаружена аномалия (в записи нет % s символов: %s) для записи %s, компания %s",,
"%s : Anomaly detected (value isn't numeric : %s) for sender","%s : обнаружена аномалия (значение не является числовым: %s) для отправителя",,
"%s : Anomaly detected (value isn't numeric : %s) for the receiver","%s : обнаружена аномалия (значение не является числовым: %s) для получателя",,
"%s : Anomaly detected (value isn't numeric : %s) for the total","%s : обнаруженная аномалия (значение не является числовым: %s) для общей суммы",,
"%s : Bank statement line %s amount can't be null","%s : сумма линии сверки %s не может быть равна 0.",,
"%s : Caution, payment entry nb %s, total line's amount imputed is higher than customer's amount paid.","%s : внимание, ввод платежа № %s, общая сумма начисленных сумм за строку превышает сумму, уплаченную клиентом",,
"%s : Computed balance and Ending Balance must be equal","%s : расчетный баланс и итоговый баланс должны быть равны.",,
"%s : Currency missing","%s : валюта отсутствует",,
"%s : Error : You must configure a bank details for the company %s and a payment mode %s","%s : ошибка : пожалуйста, настройте RIB для компании %s и способ оплаты %s",,
"%s : Error : You must configure a company for the batch configurator %s","%s : ошибка : пожалуйста, настройте компанию для пакетного конфигуратора %s",,
"%s : Error : You must configure a credit note interface sequence for the company %s","%s : ошибка : пожалуйста, настройте последовательность интерфейс иметь для компании %s",,
"%s : Error : You must configure a custom account reporting sequence for the company %s","%s : ошибка : пожалуйста, настройте последовательность пользовательских бухгалтерских отчетов для компании %s",,
"%s : Error : You must configure a direct debit date for the %s batch configuration","%s : ошибка : пожалуйста, настройте дату выборки для пакетной конфигурации %s",,
"%s : Error : You must configure a due date for the batch configurator %s","%s : ошибка : пожалуйста, настройте дату окончания для пакетного конфигуратора %s",,
"%s : Error : You must configure a journal for the company %s and a payment mode %s","%s : ошибка : пожалуйста настроить журнал для компании %s и способа оплаты %s",,
"%s : Error : You must configure a purchase interface sequence for the company %s","%s : ошибка : пожалуйста, настройте последовательность интерфейса покупки для компании %s",,
"%s : Error : You must configure a reconciliation sequence for the company %s","%s : ошибка : пожалуйста, настройте последовательность согласования для компании %s",,
"%s : Error : You must configure a reported balance journal in the account configuration for the batch configurator %s","%s : ошибка : пожалуйста, настройте журнал от нового к новому для настроенного пакета %s.",,
"%s : Error : You must configure a result loss account and a year opening account in the account configuration","%s : ошибка : пожалуйста, настройте отчет о прибылях и убытках (убыток) и начальный финансовый счет в конфигурации бухгалтерского учета.",,
"%s : Error : You must configure a result profit account and a year opening account in the account configuration","%s : ошибка : пожалуйста, настройте отчет о прибылях и убытках (прибыль) и начальный финансовый счет в конфигурации бухгалтерского учета.",,
"%s : Error : You must configure a sale interface sequence for the company %s","%s : ошибка : пожалуйста, настройте последовательность интерфейса продаж для компании %s",,
"%s : Error : You must configure a sequence for the company %s and a payment mode %s","%s : ошибка : пожалуйста, настройте последовательность для компании %s и способа оплаты %s",,
"%s : Error : You must configure a treasury interface sequence for the company %s","%s : ошибка: пожалуйста, настройте последовательность интерфейса денежных средств для компании %s",,
"%s : Error : You must configure a weight table in general configuration","%s : ошибка : пожалуйста, настройте таблицу весов в общем администрировании",,
"%s : Error : You must configure a year for the batch configurator %s","%s : ошибка: пожалуйста, настройте отчетный год для пакетного конфигуратора %s",,
"%s : Error : You must configure accounts for the batch configurator %s","%s : ошибка : пожалуйста, настройте учетные записи для пакетный конфигуратор %s",,
"%s : Error : You must configure an account export sequence for the company %s","%s : ошибка : пожалуйста, настройте последовательность учета экспорта для компании %s",,
"%s : Error : You must configure an account reporting sequence for the company %s","%s : ошибка : пожалуйста, настройте последовательность бухгалтерской отчетности для компании %s",,
"%s : Error : You must configure an analytic report sequence for the company %s","%s : ошибка: пожалуйста, настройте последовательность аналитических отчетов для компании %s",,
"%s : Error : You must configure an export type for the batch configurator %s","%s : ошибка: пожалуйста, настройте тип экспорта для пакетного конфигуратора %s",,
"%s : Error : You must, at first, create timetable lines for the timetable %s","%s : ошибка : пожалуйста, сначала создайте строки расписания для расписания %s %s : ошибка обнаружена во время выполнениязапись",,
"%s : Error detected during CFONB file's writing : %s","%s : Обнаружена ошибка при записи файла CFONB : %s",,
"%s : Error generated on invoice creation shift to irrecoverable %s","%s : ошибка возникшая при создании записи о невозможности восстановления %s",,
"%s : Invoice's type is not filled %s","%s : Тип счета-фактуры не заполнен %s",,
"%s : Invoicing address missing","%s : платежный адрес отсутствует",,
"%s : Letter template missing for debt recovery matrix %s (Partner %s, Level %s).","%s : шаблон отсутствующей почты для матрицы наложения %s (третий %s уровень %s).",,
"%s : MoveLine amount is not equals with bank statement line %s","%s : сумма записи должна быть равна сумме строки сверки %s.",,
"%s : No debt recovery method has been found for the company %s and the category %s %s (Partner %s)","%s : не удалось найти метод возмещения для компании %s и категории %s %s (сторонние %s)",,
"%s : No payment mode found for the code %s and the company %s","%s : способ оплаты для кода %s и компании %s не найден",,
"%s : No timetable nor invoice found for the direct debit number : %s","%s : график или счет-фактура не найдены для номера дебета: %s",,
"%s : One or several detail records are missing in the file %s","%s : в файле отсутствует одна или несколько записей подробности %s",,
"%s : Payment condition missing","%s : условие оплаты отсутствует",,
"%s : Payment mode missing","%s : способ оплаты отсутствует",,
"%s : Payment mode must be filled either in the partner or in the company configuration.","%s : способ оплаты должен быть заполнен либо третьей стороной  либо в настройках компании.",,
"%s : Payment voucher nВ° %s, the paid amount should be positive","%s : Платежный ваучер nВ° %s, оплаченная сумма должна быть положительной",,
"%s : Please define an email template for cash register (company: %s)","%s : пожалуйста укажите шаблон электронного письма для оформления заказа (компания: %s)",,
"%s : Please, configure a currency for the company %s","%s : пожалуйста установите валюту для компании %s",,
"%s : Please, configure a sequence for the customer credit notes and the company %s","%s : пожалуйста, настройте последовательность для клиентских активов в компании %s""",,
"%s : Please, configure a sequence for the customer invoices and the company %s","%s : пожалуйста настройте последовательность для клиентских счетов в компании %s",,
"%s : Please, configure a sequence for the fixed assets and the company %s","%s : пожалуйста настройте последовательность для основных средств в компании %s",,
"%s : Please, configure a sequence for the note bills and the company %s","%s : пожалуйста настройте последовательность для выписок счетов в компании %s",,
"%s : Please, configure a sequence for the supplier credit notes and the company %s","%s : пожалуйста, настройте последовательность для активов поставщиков в компании %s""",,
"%s : Please, configure a sequence for the supplier invoices and the company %s","%s : пожалуйста настройте последовательность выставления счетов поставщикам в компании %s",,
"%s : Please, fill bank details in batch %s","%s : пожалуйста укажите RIB в пакетном %s",,
"%s : Please, fill payment mode in batch %s","%s : пожалуйста укажите способ оплаты в пакетном %s",,
"%s : Reconciliation %s: Reconciliated amount (%s) must be lower or equal to remaining amount to reconciliate from moves lines.","%s : согласование %s : согласованная сумма (%s) должна быть меньше или равно сумме оставшейся для согласования по линиям движения.",,
"%s : Reconciliation %s: Reconciliated amount must be different than zero. (Debit %s account %s - Credit %s account %s)","%s : выверка %s : сумма выверки бухгалтерского учета должна отличаться от 0. (Дебет %s счета %s-кредит %s счета %s)",,
"%s : Reconciliation : Move line accounts are not compatible.","%s : сверка: учетные записи строк записей несовместимы.",,
"%s : Reconciliation : You must fill concerned moves lines.","%s : сверка : пожалуйста заполните соответствующие строки записи.",,
"%s : The invoice %s has no accounting document whose the remainder to be paid is positive","%s : в счете-фактуре %s нет учетной записи оставшаяся задолженность по которой является положительной",,
"%s : The paid amount is superior to the imputed amount(s)","%s : выплаченная сумма превышает сумму(суммы) отнесенную на счет",,
"%s : The total amount for the following record isn't correct (file %s) :\n %s","%s : неверна общая сумма следующей записи (файл %s): \n %s",,
"%s : There's no line to pay.","%s: нет строк для оплаты.",,
"%s : There's no partner selected","%s : третья сторона не выбрана",,
"%s : You must add a journal and a treasury account into payment mode.","%s : пожалуйста, заполните журнал и денежный счет в режиме расчетов.",,
"%s : You must add an amount paid.","%s : пожалуйста, укажите сумму, которую вы заплатили, пожалуйста.",,
"%s : You must configure CFONB for the company %s","%s : пожалуйста, настройте CFONB для компании %s",,
"%s : You must configure a Bank Address for the RIB %s of third-payer %s","%s : пожалуйста, настройте банковский адрес для rib %s стороннего плательщика %s",,
"%s : You must configure a Bank Code for the RIB %s of third-payer %s","%s : пожалуйста, настройте банковский код для RIB %s стороннего плательщика %s",,
"%s : You must configure a CFONB TIP and cheque TIP code for the company %s","%s : пожалуйста, настройте код операции чаевые + чек CFONB для компании %s",,
"%s : You must configure a CFONB TIP code for the company %s","%s : пожалуйста, настройте банковский код для RIB % s стороннего плательщика % s % s: пожалуйста, настройте банковский код для RIB % S % S Код операции TIP CFONB для компании %s",,
"%s : You must configure a CFONB code register end for the company %s","%s : пожалуйста, настройте точный регистрационный код CFONB для компании %s",,
"%s : You must configure a CFONB detail code register for the company %s","%s : пожалуйста, настройте подробный регистрационный код CFONB для компании %s",,
"%s : You must configure a CFONB direct debit code for the company %s","%s : пожалуйста, настройте код операции Tip CFONB для компании %s",,
"%s : You must configure a CFONB format direct debit's export's folder for the company %s","%s : пожалуйста, настройте папку экспорта списаний в формате CFONB для компании %s",,
"%s : You must configure a CFONB format reimbursement's export's folder for the company %s","%s : пожалуйста, настройте папку экспорта возвратов в формате CFONB для компании %s",,
"%s : You must configure a CFONB header code register for the company %s","%s : пожалуйста, настройте регистрационный код заголовка CFONB для компании %s",,
"%s : You must configure a CFONB internet payment code for the company %s","%s : пожалуйста, настройте код операции перевод CFONB для компании %s",,
"%s : You must configure a CFONB receiver code register for the company %s","%s : пожалуйста, настройте регистрационный код получателя CFONB для компании %s",,
"%s : You must configure a CFONB rejected direct debit code for the company %s","%s : пожалуйста, настройте код операции отклоненный перевод CFONB для компании %s",,
"%s : You must configure a CFONB sender code register for the company %s","%s : пожалуйста, настройте регистрационный код эмитента CFONB для компании %s",,
"%s : You must configure a CFONB sender's name/corporate name for the company %s","%s : пожалуйста, настройте имя / название компании эмитента CFONB для компании %s",,
"%s : You must configure a CFONB sender's number for the company %s","%s : пожалуйста, настройте номер эмитента CFONB для компании %s",,
"%s : You must configure a CFONB total code register for the company %s","%s : пожалуйста, настройте общий регистрационный код CFONB для компании %s",,
"%s : You must configure a CFONB unpaid TIP code for the company %s","%s : пожалуйста, настройте код операции cfonb с невыплаченными чаевыми для компании %s",,
"%s : You must configure a CFONB unpaid direct debit code fir the company %s","%s : пожалуйста, настройте код операции CFONB с невыплаченными чаевыми для компании %s",,
"%s : You must configure a Cash journal type for the company %s","%s : пожалуйста, настройте тип журнала денежных операций для компании %s",,
"%s : You must configure a Credit note journal type for the company %s","%s : пожалуйста, настройте тип журнала активов для компании %s",,
"%s : You must configure a Customer credit note journal for the company %s","%s : пожалуйста, настройте журнал активов клиентов для компании %s",,
"%s : You must configure a Misc. Operation journal for the company %s","%s : пожалуйста, настройте журнал операций для компании %s",,
"%s : You must configure a Purchase journal type for the company %s","%s : пожалуйста, настройте тип журнала покупок для компании %s",,
"%s : You must configure a RIB for batch's configurator %s","%s : пожалуйста, настройте RIB для пакетного конфигуратора %s",,
"%s : You must configure a RIB for payment timetable %s","%s : пожалуйста, настройте RIB для графика платежей %s",,
"%s : You must configure a RIB for the partner %s","%s : пожалуйста, настройте RIB для третьей стороны %s",,
"%s : You must configure a Reimbursement journal for the company %s","%s : пожалуйста, настройте журнал погашения для компании %s",,
"%s : You must configure a Sales journal for the company %s","%s : пожалуйста, настройте журнал продаж клиентам для компании %s",,
"%s : You must configure a Sales journal type for the company %s","%s : пожалуйста, настройте тип журнала продаж для компании %s",,
"%s : You must configure a Sort Code for the RIB %s of third-payer %s","%s : пожалуйста, настройте код кассы для rib %s стороннего плательщика %s",,
"%s : You must configure a Supplier credit note journal for the company %s","%s : Вы должны настроить журнал кредитных накладных поставщика для компании %s",,
"%s : You must configure a Supplier purchase journal for the company %s","%s : Вы должны настроить журнал закупок у поставщика для компании %s",,
"%s : You must configure a TIP and cheque TIP payment rejects path for the import file for the company %s","%s : Вы должны настроить путь для отзыва чаевых и отклоненных платежей по чекам для файла импорта для компании %s",,
"%s : You must configure a TIP and cheque TIP payment's import path for the company %s","%s : Необходимо настроить путь импорта TIP и чека платежа TIP для компании %s",,
"%s : You must configure a TIP and cheque TIP temporary import path for the company %s","%s : Вы должны настроить путь временного импорта чаевых и чеков для компании %s",,
"%s : You must configure a TIP and cheque TIP temporary path for the payment reject's file for the company %s","%s : Вы должны настроить путь временного импорта чаевых и чеков для файла отклонения платежа для компании %s",,
"%s : You must configure a cash difference credit account for the company %s","%s : Вы должны настроить кредитный счет для учета разницы в наличности для компании %s",,
"%s : You must configure a cash difference debit account for the company %s","%s : Вы должны настроить дебетовый счет для учета разницы в наличности для компании %s",,
"%s : You must configure a cheque rejection sequence for the company %s","%s : Вы должны настроить порядок отклонения чека для компании %s",,
"%s : You must configure a clearance sequence of the overpayments for the company %s","%s : Вы должны настроить порядок списания переплат для компании %s",,
"%s : You must configure a company for the fiscal year %s","%s : Вы должны настроить компанию на финансовый год %s",,
"%s : You must configure a customer account for the company %s","%s : Вы должны настроить учетную запись клиента для компании %s",,
"%s : You must configure a debt recovery tab for the company %s","%s : Вы должны настроить вкладку ""Взыскание задолженности"" для компании %s",,
"%s : You must configure a direct debit payment mode for the company %s","%s : Вы должны настроить режим оплаты прямым дебетованием для компании %s",,
"%s : You must configure a direct debit reject sequence\n for the company %s for the journal %s","%s : Вы должны настроить последовательность отказа от прямого дебетования для компании %s %s: Вы должны настроить последовательность отказа от прямого дебетования для компании %s %s: Вы должны настроить последовательность отказа от прямого дебетования для компании %s %s: Вы должны настроить компания %s для журнала %s",,
"%s : You must configure a doubtful customer account for the company %s","%s : Вы должны настроить учетную запись сомнительного клиента для компании %s",,
"%s : You must configure a factor credit account for the company %s","%s : Вы должны настроить учетную запись кредитного фактора для компании %s",,
"%s : You must configure a factor debit account for the company %s","%s : Вы должны настроить учетную запись дебетового фактора для компании %s",,
"%s : You must configure a file name for the export of move file for the company %s","%s : Вы должны настроить учетную запись имя файла для экспорта файла перемещения для компании %s",,
"%s : You must configure a financial account for then company %s","%s : Вы должны настроить финансовую учетную запись для вашей компании%s",,
"%s : You must configure a holdback customer account for the company %s","%s : Вы должны настроить временную учетную запись клиента для компании %s",,
"%s : You must configure a holdback supplier account for the company %s","%s : Вы должны настроить учетную запись поставщика с отложенным возмещением для компании %s",,
"%s : You must configure a number's account for the RIB %s of third-payer %s","%s : Вы должны настроить учетную запись номера для RIB %s третьего плательщика %s",,
"%s : You must configure a path for the reimbursement rejects import's temporary file for the company %s","%s : Вы должны настроить путь к временному файлу импорта отклоненных возмещений для компании %s",,
