"key","message","comment","context"
"%d bank statement couldn't be deleted, please check the logs.","%d банковские выписки(выписки) не могут быть удалены. Пожалуйста"," ознакомьтесь с журналами.",
"%d errors occurred. Please check tracebacks for details.","%d произошло ошибок. Пожалуйста"," ознакомьтесь с подробностями в треках.",
"%d line successfully rejected","%d строка успешно отклонена",,
"%d lines successfully rejected","%d строки успешно отклонены",,
"%s : Bank statement line %s amount can't be null","%s : строка банковской выписки %s сумма не может быть равна нулю",,
"%s : Computed balance and Ending Balance must be equal","Начальный баланс и расчетный баланс должны быть равны",,
"%s : MoveLine amount is not equals with bank statement line %s","%s : сумма в строке записи не равна строке банковской выписки %s",,
"%s : Please configure an ICS number for the company %s.","%s : пожалуйста"," укажите номер ICS для компании %s.",
"%s : Please, configure a default signer for the company %s","%s : пожалуйста"," настройте подписывающего по умолчанию для компании %s",
"%s : Please, configure a sequence for the Bill of exchange and the company %s","%s : пожалуйста"," настройте последовательность для LCR и компании %s",
"%s : Please, configure a sequence for the International Credit Transfers and the company %s","%s: пожалуйста"," настройте последовательность для международных денежных переводов и компании %s",
"%s : Please, configure a sequence for the International Direct Debits and the company %s","%s : пожалуйста"," настройте последовательность для международных денежных переводов и компании %s",
"%s : Please, configure a sequence for the International Treasury Transfers and the company %s","%s : пожалуйста"," настройте последовательность для международных денежных переводов и компания %s",
"%s : Please, configure a sequence for the National Treasury Transfers and the company %s","%s : пожалуйста"," настройте последовательность для внутренних денежных переводов и компания %s",
"%s : Please, configure a sequence for the Other Bank Orders and the company %s","%s : пожалуйста"," настройте последовательность для других банковских заказов и компания %s",
"%s : Please, configure a sequence for the SEPA Credit Transfers and the company %s","%s : пожалуйста"," настройте последовательность для переводов SEPA и компании %s",
"%s : Please, configure a sequence for the SEPA Direct Debits and the company %s","%s: пожалуйста"," настройте последовательность для списаний SEPA и компании %s",
"%s : Please, configure an account for the bank order for the external bank to bank transfer for the company %s","%s : пожалуйста"," настройте учетную запись для банковского заказа на внешний банковский перевод для компании %s",
"%s : Please, configure an account for the bank order for the internal bank to bank transfer for the company %s","%s : пожалуйста"," настройте учетную запись бухгалтер по внутреннему банковскому переводу банковского заказа для компании %s",
"%s : You must configure bank payment's information for the company %s","%s: пожалуйста"," настройте банковскую платежную информацию для компании %s",
"10 - Bank details IBAN","10-идентификатор учетной записи",,
"10 - Sender bank details type","10 - Тип идентификатора учетной записи",,
"10 - Sequence","10-Ссылка",,
"11 - Bank details code","11 - код валюты счета",,
"11 - Sender bank details IBAN","11-идентификатор учетной записи"," подлежащей списанию",
"12 - Bank order currency","12 - код валюты счета для списания",,
"13 - Total","13-всего",,
"14 - Sender bank details type","14-тип идентификатора учетной записи"," подлежащей списанию",
"15 - Sender bank details IBAN","15-идентификатор учетной записи"," подлежащей списанию",
"16 - Bank order currency","16 - код валюты счета для списания",,
"16 - Economic reason code","16-код экономического основания",,
"17-3 - File format qualifying date","17-3-определяющий дату",,
"18 - Order debit type index","18 - индекс типа дебетовой скидки",,
"18 - Payment mode select","18 - режим регулирования",,
"19 - Fees imputation mode","19-код начисления сборов",,
"19 - Order index type","19-индекс типа скидки",,
"20 - Bank order date","20-дата банковского заказа",,
"21 - Currency","21-код валюты платежных поручений",,
"24-1 - Qualifying of date","24-1-определяющая дата",,
"24-2 - Date","24-2-дата",,
"25 - Currency","25-код валюты перевода",,
"4 - Bank details type","4 - тип идентификатора учетной записи получателя",,
"4 - Bank name","4-название банка получателя",,
"4 - Generation date","4-Дата создания",,
"4-1 - Payment Reason 1","4-1-основание для постановления 1",,
"4-2 - Payment Reason 2","4-2-основание для постановления 2",,
"4-3 - Payment Reason 3","4-3-основание для постановления 3",,
"4-4 - Payment Reason 4","4-4-основание для постановления 4",,
"5 - Bank address","5-местонахождение агентства",,
"5 - Bank details IBAN","5-идентификатор учетной записи получателя",,
"5 - Sender company","5-название компании-эмитента",,
"6 - Bank code","6 - BIC-код банка получателя",,
"6 - Bank details owner name","6-имя получателя",,
"6 - Registration code","6-номер SIRET передатчика",,
"6 - Sender address","6-Адрес отправителя",,
"7 - Country code","7-код страны банка получателя",,
"7 - Registration code","7-номер SIRET передатчика",,
"7 - Sequence","7-ссылка со скидкой",,
"8 - Sequence","8-ссылка со скидкой",,
"9 - Bank details type","Тип идентификатора учетной записи"," подлежащей списанию",
"9 - Country code","9-код страны получателя",,
"9-1 - Special instructions 1","9-1-специальные инструкции 1",,
"9-2 - Special instructions 2","9-2-особые инструкции 2",,
"9-3 - Special instructions 3","9-3-специальные инструкции 3",,
"A - Register code","А - регистрационный код ",,
"A bank order %s already exist for the invoice %s.","Банковский ордер %s уже существует для счета %s.",,
"Acceptance code per recipient line","Код подтверждения для каждой строки получателя",,
"Accepted Bank Details Identifiers","Принятые типы идентификаторов учетных записей",,
"Accepted LCR","CSF принят",,
"Account balance","Бухгалтерский баланс",,
"Account management is missing.","Настройка учетной записи бухгалтерского учета отсутствует.",,
"Account management list",,,
"Accounting",,,
"Accounting Dashboard","Учет Туберкулеза",,
"Accounting Dashboard with invoice terms",,,
"Accounting Move Line(s) to reconcile","Писание(и) для сближения",,
"Accounting auto","Автоматический учет",,
"Accounting details","Детали бухгалтерского учета",,
"Accounting information","Бухгалтерская информация",,
"Accounting move trigger select","Инициирование учета проводок",,
"Accounting settings",,,
"Accounting.Account","Учетный счет",,
"Action","Действие",,
"Active",,,
"Additional information","Дополнительная информация",,
"Allow orders with a transfer currency different from bank details currency","Разрешить заказы в валюте перевода"," отличной от валюты счета эмитента",
"Already accounted","Уже учтено",,
"Already reconciled","Уже сблизились",,
"Amount Rejected","Отклоненная сумма",,
"Amount in transfer's currency","Сумма в валюте перевода",,
"Amount of the semi-interval of confidence for the amounts","Сумма половины доверительного интервала для сумм",,
"Amount remaining to reconcile","Оставшаяся сумма"," подлежащая выверке",
"Amount value of a bank order line is not valid","Сумма"," введенная для строки банковского ордера",
"Amount value of the bank order is not valid","Введенная сумма банковского ордера недействительна",,
"Anomaly has been detected during file generation for bank order %s","При создании банковского файла банковского ордера %s была обнаружена ошибка",,
"Anomaly has been detected during file generation for the additional detail record of the bank order line %s","При создании банковского файла для записи ""дополнительные сведения"" строки банковского заказа %s была обнаружена аномалия",,
"Anomaly has been detected during file generation for the beneficiary bank detail record of the bank order line %s","При создании банковского файла для записи ""сведения о получателе"" банковского заказа %s была обнаружена аномалия",,
"Anomaly has been detected during file generation for the detail record of the bank order line %s","При создании банковского файла для записи ""реквизиты"" строки банковского ордера %s была обнаружена ошибка",,
"Anomaly has been detected during file generation for the endorsed detail record of the bank order line %s","При создании банковского файла для записи ""подтвержденные реквизиты"" строки банковского заказа %s была обнаружена ошибка",,
"Anomaly has been detected during file generation for the further information detail record of the bank order line %s","При создании банковского файла для записи ""дополнительная информация"" в строке банковского заказа %s была обнаружена ошибка",,
"Anomaly has been detected during file generation for the sender record of the bank order %s","При создании банковского файла для записи эмитента банковского ордера %s была обнаружена аномалия",,
"Anomaly has been detected during file generation for the total record of the bank order %s","При создании банковского файла для записи ""всего"" банковского заказа %s была обнаружена аномалия",,
"App",,,
"App bank payment","Приложение для банковских платежей",,
"Are you sure you want merge the selected bank orders ?","Вы уверены"," что хотите объединить выбранные банковские ордера ?",
"Arithmetic total","Итого по арифметике",,
