"key","message","comment","context"
"% Charging Back Purhcases","% Перерасчет Покупок",,
"% consump","% потребления",,
"% consumption is the ratio of spent time on sold time on the task and all of it's sub tasks.","% Потребления - это отношение затраченного времени к расчетному времени для задачи и всех ее подзадач.",,
"% of consumption","% потребление",,
"% of progress","% прогрессия",,
"% prog","% прог",,
"% progress is the ratio of spent time on updated time on the task and all of it's sub tasks.","%Выполнения-это соотношение затраченного и обновленного времени для задачи и всех ее подзадач",,
"%s : You must configure Business project module for company %s","%s : пожалуйста, настройте модуль Управление бизнесом для компании %s",,
"%s is in %s and should be in Days or Hours as they are defined in Business Project module configuration","%s выражается в % s и должно быть в Днях или часах, как определено в модуле выполнения. настройка по делу",,
"- a linked contract is not at finished status","- связанный контракт не имеет статуса ""выполнено""",,
"- a linked contract is still in progress","- связанный контракт все еще находится в стадии выполнения",,
"- a linked expense line is not invoiced","- связанная строка отчета о расходах не оплачивается",,
"- a linked purchase order is not totally invoiced","- связанный заказ на покупку оплачивается не полностью",,
"- a linked purchase order is not totally invoiced or is not totally delivered","- связанный заказ на покупку не полностью оплачен или доставлен",,
"- a linked purchase order is not totally received","- связанный заказ на покупку не полностью получен",,
"- a linked sale order is not totally invoiced","- связанный заказ на продажу выставлен не полностью",,
"- a linked timesheet line is not invoiced","- связанная строка расписания не оплачивается",,
"- a linked timesheet line that must be invoiced has not been invoiced","- строка расписания, подлежащая оплате, не была оплачена",,
"1",,,
"2",,,
"3",,,
"4",,,
"5",,,
"6",,,
"A deadline is required","Требуется установленный срок оплаты",,
"Action",,,
"Address","Адрес",,
"Advance payment invoices","Авансовые счета",,
"Allows to retrieve prices from a framework contract","Разрешить восстановление цен из рамочного контракта",,
"Analytic distribution","Аналитическое распределение",,
"Analytic distribution required on project","Обязательное аналитическое распределение по проекту",,
"Analytic distribution template","Аналитическая модель распределения",,
"Analytic move lines",,,
"Analytics","Аналитический",,
"App",,,
"App business project","Приложение управление бизнесом",,
"App project","Проект Приложения",,
"AppBusinessProject.Blocking","Блокированный",,
"Are you sure to unlink project from selected lines?","Вы уверены, что хотите удалить связь между проектом и выбранными строками ?",,
"Are you sure you want to generate invoices for all selected affairs ?","Вы уверены, что хотите выставлять счета-фактуры по всем выбранным направлениям?",,
"Assigned to","Назначенный на",,
"Attach the Annex to the invoice","Прикрепить приложение к счету-фактуре",,
"Automatic Project","автоматического проекта",,
"Automatic invoicing",,,
"Backup project data to project history","Сохранить данные в историю проекта",,
"Batch","Массовая обработка",,
"Batches","Массовые процедуры",,
"Business (via business proj)","Дело (через дело)",,
"Business project","Одежда",,
"Business project batch","Бизнес-пакет",,
"Business project batch filters","Бизнес пакетные фильтры",,
"Business project batches","Деловые партии",,
"Business project configurations","Конфигурация. управление по делу",,
"Business projects","Бизнес",,
"Canceled","Отмененный",,
"Charging Back Purchases Type","Тип рефакторинга покупок",,
"Closing project rule select","Правило закрытия проекта",,
"Code",,,
"Comments","Наблюдения",,
"Company","Компания",,
"Completed paid project status","Статус завершенного проекта оплачен",,
"Compute project totals","Рассчитать итоги проекта",,
"Configurations",,,
"Confirm Purchase order generation","Подтвердить создание заказа на поставку",,
"Consolidate all","Все консолидировать",,
"Consolidate phase invoicing","консолидация фаз для выставления счетов",,
"Consolidate the phases","Консолидировать этапы",,
"Content","Содержимое",,
"Contract",,,
"Cost W.T.","Затраты HT",,
"Could not find the project id.","Идентификатор проекта не найден.",,
"Could not find the project task id.","Идентификатор задачи не найден.",,
"Create subtask btn",,,
"Created by","Создано",,
"Created on","созданным",,
"Currency","валюта",,
"Customer deliveries","Поставки клиентам",,
"Customer invoice lines","Строки счетов-фактур клиентов",,
"Customer invoices","Счета-фактуры клиент",,
"Customer referral","-реферер клиент",,
"Date",,,
"Days unit","Единица измерения на дни",,
"Deadline","Срок платежа",,
"Default Invoicing Product for Projects","Продукт для выставления счетов по умолчанию для проектов",,
"Default framework customer contract","Базовый клиентский договор по умолчанию",,
"Default framework supplier contract","Рамочный договор поставщика по умолчанию",,
"Default hours in a day","Количество часов в день по умолчанию",,
"Default product","Продукт по умолчанию",,
"Default value","Значение по умолчанию",,
"Default value invoicing type","Тип выставления счетов по умолчанию",,
"Delete task btn",,,
"Deliveries",,,
"Depending on the chosen configuration, the user get an alert or an error message if:","В зависимости от конфигурации пользователь получает предупреждение или сообщение об ошибке, если :",,
"Description",,,
"Discount amount","Сумма скидки",,
"Discount type","Тип скидки",,
"Display","Дисплей",,
"Display expense lines on printing","Показывать накладные расходы в распечатках",,
"Display timesheet lines on printing","Показывать табели учета рабочего времени в распечатках",,
"Don't consolidate","Не объединять",,
"Draft","Черновик",,
"Duration adjust for customer","Скорректированный срок",,
"Elements To Invoice","действия для выставления счета клиенту",,
"Employee","Сотрудник",,
"Empty","Пустой",,
"Enable task templates by product","Включить шаблоны задач для каждого продукта",,
"Enable to invoice expense","Разрешить выставление счетов по накладным",,
"Enable to invoice timesheet","Разрешить выставление счетов по расписанию",,
"Error while trying to save to project history for project %s.","Ошибка при сохранении данных в историю проекта %s.",,
"Error while trying to transition between paid status for project %s.","Ошибка при попытке перехода между статусом ""оплачено"" для проекта %s.",,
"Estimated Costs Total","Итого, сметные расходы",,
"Estimated Margin","Предполагаемая маржа",,
"Exclude tasks for invoicing","Исключить задачи для выставления счетов",,
"Expense","Примечание о расходах",,
"Expense Lines","Строки примечания к расходам",,
"Expense Lines Priority","Примечание о расходах : приоритет",,
"Expense line","Строка отчета о расходах",,
"Expense line successfully created. The project is configured as billable, so the charge has been marked as billable by default.","""Строка отчета о расходах была создана правильно. Поскольку проект настроен как оплачиваемый, строка поэтому была отмечена по умолчанию для выставления счета"".",,
"Expense lines","Строки NdeF",,
"Expenses","примечания к расходам",,
"ExpensesTotal","Итого, примечания к расходам",,
"Factory not found this type of generator","Завод не найден для этого типа поколения",,
"Financial Data","Финансовая информация",,
"Financial follow-up","Финансовый мониторинг",,
"Forecast","прогнозирование",,
"Framework customer contract","рамочный договор с клиентом",,
"Framework supplier contract","Рамочный договор с поставщиком",,
"Free","Свободный",,
"From",,,
"Generate Invoice","Сгенерировать счет-фактуру",,
"Generate Purchase Order","сгенерировать заказ на покупку",,
"Generate business project configurations","сгенерировать конфигурацию от управления к делу",,
"Generate invoicing projects","сгенерировать счета-фактуры проекты",,
"Generate purchase order btn",,,
"Generate/Select Project for Order","Сгенерировать/выбрать проект для",,
"Generated","сгенерированных заказов",,
"Generated invoicing project","Сгенерированные счета-фактуры по проектам",,
"Generated invoicing projects","Сгенерированные счета-фактуры по проектам",,
"Group expense on invoice","группировать расходы в счете-фактуре",,
"Grouping period","Период объединения",,
"Here you can enter a groovy formula to exclude certain tasks from invoicing according to certain desired criteria","Здесь вы можете ввести отличную формулу, чтобы исключить определенные задачи из выставления счетов в соответствии с определенными желаемыми критериями",,
"Hours unit","Единица измерения по часам",,
"Identically","В идентичном",,
"Impossible to retrieve the price as several matching products were found.","Невозможно вернуть цену, потому что было найдено несколько подходящих товаров.",,
"In progress invoice","Выставление счета по мере поступления",,
"Information",,,
"Initial",,,
"Invalid exclude task for invoicing filter",,,
"Invoice","Счет-фактура",,
"Invoice Business Project","Счет-фактура по делу",,
"Invoice all selected business affairs","Выставлять счета за все выбранные сделки",,
"Invoice expense template",,,
"Invoice generated","Сгенерированный счет-фактура",,
"Invoice line","Строка счета-фактуры",,
"Invoice lines","Строки счетов-фактур",,
"Invoice post task","Выставление счетов после выполнения задачи",,
"Invoice pre task","Выставление счетов перед заданием",,
"Invoice.creditNoteNoAnnex","Приложение, имеющее номер",,
"Invoice.draftInvoiceNoAnnex","ПРИЛОЖЕНИЕ К СЧЕТУ-ПРОФОРМЕ № ",,
"Invoice.expenseProduct","Тип накладной",,
"Invoice.expenseTaxAmount","сумма НДС а",,
"Invoice.expenseTitle","сведения о накладной",,
"Invoice.expenseTotalAmount","общая сумма",,
"Invoice.invoiceNoAnnex","ПРИЛОЖЕНИЕ К СЧЕТУ № ",,
"Invoice.noPreviousProgress","Нет авт. предыдущий",,
"Invoice.previousProgress","авт. предыдущий",,
"Invoice.progressAt","авт. в",,
"Invoice.purchaseCreditNoteNoAnnex","приложении есть поставщик № ",,
"Invoice.purchaseInvoiceNoAnnex","ПРИЛОЖЕНИЕ К СЧЕТУ-ФАКТУРЕ ПОСТАВЩИКА № ",,
"Invoice.supplierReference","Ссылка на поставщика",,
"Invoice.timesheetActivity","Деятельность",,
