"key","message","comment","context"
"Accept Order","Все билеты открыты",,
"All open ticket","История билетов",,
"All tickets","Объявление",,
"Announcement",,,
"App","Сервисная поддержка",,
"App Business Support",,,
"App business support","Назначить клиенту",,
"Assigning to the customer","Назначить поставщику",,
"Assigning to the provider","назначение",,
"Assignment","Особенности",,
"Characteristics","Конфигурация",,
"Configuration",,,
"Content","Клиентского Контента",,
"Customer","Дата",,
"Date","Финансовая информация",,
"Financial Data",,,
"In production","В текущем производстве",,
"In progress","В рецепте",,
"In test","Внутреннее описание",,
"Internal Description","Мои Билеты",,
"My Tickets","Новый Билет",,
"New Ticket","Новые задачи",,
"New tasks","Ожидающий",,
"On hold","Предложение принято",,
"Order Accepted","Предлагаемая расценка",,
"Order Proposed","Частный",,
"Private","Дата ввода",,
"Production server date","проекта в эксплуатацию",,
"Project",,,
"Project Activity","Версия",,
"Project.version","Версии",,
"Project.versions",,,
"Projects","Поставщик",,
"Provider","Поставщик",,
"Provider Company","Статус",,
"Status","Тема",,
"Subject","Целевая версия",,
"Target version","Дерево задач",,
"Task Tree","Задача, поставленная перед",,
"Task assigned to","Задача, поставленная перед клиентом",,
"Task assigned to the client","Задача, поставленная перед поставщиком",,
"Task assigned to the provider","задача",,
"Tasks","Билеты для обработки клиентом",,
"Tasks to be treated by customer","Билеты для обработки поставщиком",,
"Tasks to be treated by provider","Дата выпуска рецепта",,
"Testing server date",,,
"Ticket","Связанный билет",,
"Ticket associated",,,
"Tickets",,,
"TimesheetLine.timeSpent","Заголовок",,
"Title","Представление дерева",,
"Tree view","обновить счет-фактуру",,
"Update to invoice","Утвержденные строки расписания",,
"Validated Timesheet lines","Lignes de feuille de temps validées",,
"value:Business Support",,,
