"key","message","comment","context"
"1",,,
"10",,,
"11",,,
"12",,,
"13",,,
"14",,,
"15",,,
"16",,,
"17",,,
"18",,,
"19",,,
"2",,,
"20",,,
"21",,,
"22",,,
"23",,,
"24",,,
"25",,,
"26",,,
"27",,,
"28",,,
"3",,,
"4",,,
"5",,,
"6",,,
"7",,,
"8",,,
"9",,,
"<h4>Forecasts in out total</h4>","<h4>прогноз денежных потоков< / h4>",,
"Actualize","Обновить",,
"Amount","Сумму",,
"Balance",,,
"Balance by bank details","Баланс в",,
"Bank","банке RIB",,
"Bank details",,,
"Best","Лучший случай",,
"Both","Пара",,
"Calculation Date","Дата расчета",,
"Cash Management Dashboard","Tdb Денежные Средства",,
"Cash balance over time","Эволюция баланса",,
"Cash management","Прогноз движения денежных",,
"Comments","средств комментарии",,
"Company","Компания",,
"Configuration",,,
"Currency","Валюта",,
"Current balance","Текущий баланс",,
"Custom",,,
"Date",,,
"Details","Детализация",,
"Display","Показать",,
"Element","Элемент",,
"Employee","Сотрудник",,
"End Of Month","Конец месяца",,
"Ending Balance","Начальный баланс",,
"Estimated date","Предполагаемая дата",,
"Estimated duration after order creation (in days)","Расчетное время после создания предложения (в днях)",,
"Expense","Примечание о расходах",,
"Forecast","Прогноз",,
"Forecast Assistant","Помощник по прогнозированию",,
"Forecast Assistant filters",,,
"Forecast Assistants","Помощники по прогнозированию",,
"Forecast Dashboard","Tdb Денежные Средства",,
"Forecast Recap","Сводная смета",,
"Forecast Recap Line Type","Тип непогашенных обязательств",,
"Forecast Recap line Types","Тип непогашенных обязательств",,
"Forecast Recaps","Сводные сметы",,
"Forecast Report","Прогнозируемый отчет",,
"Forecast Reports","Прогнозируемые отчеты",,
"Forecast Type","Тип прогноза",,
"Forecast Types","Тип непогашенных обязательств",,
"Forecast filters",,,
"Forecast generator","Помощник по прогнозированию",,
"Forecast recap","Сводная смета",,
"Forecast recap filters","Резюме. Прогнозирование",,
"Forecast recap line type updated.","Тип незавершенного дела был обновлен.",,
"ForecastLine.amount","Сумма",,
"ForecastLine.balance","Накопленный остаток",,
"ForecastLine.estimatedDate","Предполагаемая дата",,
"ForecastLine.relatedToName","Ссылка",,
"ForecastLine.type","Типизированный",,
"ForecastLineType.in","Входящий",,
"ForecastLineType.out","Исходящая",,
"ForecastOpportunitiesType.base","базовая сумма",,
"ForecastOpportunitiesType.best","В лучшем случае",,
"ForecastOpportunitiesType.no","нет",,
"ForecastOpportunitiesType.worst","Худший случай",,
"ForecastRecap.bankDetailsIban","IBAN",,
"ForecastRecap.calculationDate","Дата расчета",,
"ForecastRecap.company","Компания",,
"ForecastRecap.currency","Валюта",,
"ForecastRecap.endingBalance","Начальный баланс",,
"ForecastRecap.fromDate","Из",,
"ForecastRecap.operationDetails","деталей операций",,
"ForecastRecap.opportunitiesTypeSelect","Принимать во внимание возможности",,
"ForecastRecap.startingBalance","Начальный баланс",,
"ForecastRecap.title","Прогнозируемый план движения денежных средств",,
"ForecastRecap.toDate","От",,
"ForecastRecapLine.balance","Накопленный остаток",,
"ForecastRecapLine.relatedToSelect","Тип комнаты",,
"Forecasts","Прогнозирование",,
"Forecasts generated","Сгенерированный прогноз",,
"Forecasts in out total","Прогноз движения денежных средств",,
"From","В",,
"From Date",,,
"Functional origin",,,
"Generate","Генерировать",,
"IBAN / BBAN",,,
"Invalid dates","Недействительные даты",,
"Invoice","Счет-фактура",,
"Is complete","Является полным",,
"Journals to take into account","Журналы, которые следует учитывать",,
"Line","Линия",,
"Lines","Линии",,
"Manual Forecast","ручной прогноз",,
"Manual forecasts","Прогнозирование вручную",,
"Marges",,,
"Month",,,
"Move",,,
"Name","Имя",,
"No",,,
"No move type found for element : %s","нет тип движения не найден для элемента: %s",,
"Operation type","Тип операции",,
"Opportunity","Возможность",,
"Pay Day","День выплаты",,
"Payment mode",,,
"Periodicity","Периодичность",,
"Please fill periodicity.","Пожалуйста, уточняйте периодичность.",,
"Please select a company","Пожалуйста, выберите компанию",,
"Populate","Заполните",,
"Previsional Marges","прогнозируемую маржу прогнозируемые",,
"Previsional Sales","продажи",,
"Previsional Spending","Прогнозируемые расходы",,
"Purchase order","Заказ на закупку",,
"Realization date","Дата завершения",,
"Reason",,,
"Reference","Ссылка На Шаблон",,
"Related to select","Сопряженный ",,
"Salary","Заработная плата",,
"Sale order",,,
"Sales","Продажи по заказу клиента",,
"Salesperson","Коммерческая",,
"Seq.","Сек.",,
"Sequence","Последовательность",,
"Spending","Расходы",,
"Starting Balance","Начальный баланс",,
"Starting date should not be in the past","Дата начала не может быть в прошлом",,
"Statuses to take into account","Статусы, которые следует учитывать",,
"Take into account opportunies","Принимать во внимание возможности",,
"The company %s doesn't have any configured sequence for ForcastRecap","У компании %s нет настроенной последовательности для сводок прогнозов",,
"The company %s doesn't have any configured sequence for Forecast","У компании %s нет последовательности, настроенной для прогнозов.",,
"To","От",,
"To Date",,,
"Type","Типизированный",,
"Update","Обновление",,
"Use for report","Использовать в отчете",,
"User",,,
"Value %s is not supported for forecast recap line type.","Значение %s, соответствующее типу непогашенных обязательств, не обрабатывается.",,
"Week",,,
"Worst",,,
"value:Cash management","Прогноз движения денежных средств в худшем случае",,
