"key","message","comment","context"
"ABS portal","Портал ABS",,
"App",,,
"App Portal","Портал Приложений",,
"App portal",,,
"Assign to customer","Назначенный клиенту",,
"Assign to supplier","Назначенный поставщику",,
"Awaiting invoices","В ожидании оплаты",,
"Can confirm online","Может подтвердить онлайн",,
"Can pay online","Можно оплатить онлайн",,
"Catalog","Каталог продукции",,
"Code",,,
"Company tickets","Компания по продаже билетов",,
"Customer helpdesk","Служба поддержки клиентов",,
"Customer tickets","Клиенты билетов",,
"Delivery","Поставка",,
"Display product catalog","Просмотреть каталог продукции",,
"Electronic signature","Электронная подпись",,
"External portal","Внешний портал",,
"Helpdesk","Служба поддержки клиентов",,
"Invoicing","Выставление счетов",,
"Last delivery","Последняя доставка",,
"Last order","Последняя команда",,
"Late tickets","Просроченные билеты",,
"Manage delivery","управление поставками",,
"Manage invoices","управление счетами",,
"Manage projects","Управление проектами",,
"Manage sale orders","Управление расценками / командами клиентов",,
"Manage tickets","управление билетами",,
"Modules",,,
"Months","Месяц",,
"My credit notes","Мои активы",,
"My deliveries","Мои поставки",,
"My invoices","Мои счета",,
"My projects","Мои проекты",,
"My quotations","Мои расценки",,
"My reversions","Мои отзывы",,
"My space","Мое пространство",,
"My tickets","Мои билеты",,
"Name","на имя",,
"Next delivery","следующая доставка",,
"None","Ни одна",,
"Online payment method","Способ оплаты онлайн",,
"Online payment methods","Способы оплаты онлайн",,
"Orders in progress","Заказы в процессе выполнения",,
"Overdue invoices","Просроченный платеж",,
"Password","Пароль",,
"Planned deliveries","Запланированные поставки",,
"Portal","Портал",,
"Project","Проектов",,
"Projects","Проектов",,
"Resolved tickets","Разрешенные билеты",,
"Sale order","Заказ на продажу",,
"Sum","Сомма",,
"Sum of last 4 months invoices","Сумма счетов за последние 4 месяца",,
"Tasks due","Просроченные задания",,
"Tasks incompleted",,,
"Total projects","Всего по проектам",,
"Total remaining","Итого, остаток",,
"User is not linked with any partner. Please disconnect.","Пользователь не связан ни с какой третьей стороной. Пожалуйста, выйдите из системы.",,
"chart","График",,
"value:Portal","Портальный",,
