"key","message","comment","context"
"%d contract(s) treated and %d anomaly(ies) reported !","%договоров(контрактов) обработано и %отклонений от нормы(ов) отложено !",,
"<><Badge bg=""warning"">{_t('This pricing is already used by another contract line. Use the + button to create a new copy.')}</Badge></>",,,
"A billing contract is used to generate invoices, whereas a framework contract is used to generate orders. Invoices from framework contracts are generated either from orders, stock move or business project.","""Договор выставления счетов позволяет выставлять счета-фактуры, в то время как рамочный договор позволяет создавать заказы. Выставление счетов по Рамочному контракту будет производиться либо с момента размещения заказов, либо с момента перемещения запасов, либо с момента выставления счетов по сделке"".",,
"Account management","Настройка бухгалтерского учета",,
"Action",,,
"Action %s has no Batch implementation.",,,
"Actions",,,
"Activate contract","Активировать контракт",,
"Activated By","Активированный",,
"Activation date","Дата активации",,
"Active","Актив",,
"Additional Benefit Management","управление дополнительными льготами",,
"Additional benefit","Дополнительные льготы",,
"Additional benefit lines","Дополнительные линии льгот",,
"Additional benefit management","Управление дополнительными льготами",,
"Additional products","Дополнительные мероприятия",,
"Advanced","Передовой",,
"Amendment","Поддержка управление поддержкой",,
"Amendment management",,,
"Amendment status","Статус дополнения",,
"Amendments","Жироприказы",,
"Analytic Move Line","Строка аналитического письма",,
"Analytic distribution template","Аналитическая модель распределения",,
"Analytic move line",,,
"Analytic move lines","Строки аналитического письма",,
"Analytics","Аналитические",,
"App",,,
"App contract","Соглашение о применении",,
"Are you sure you want to remove the selected lines?","Вы уверены, что хотите удалить выбранные строки ?",,
"Attention the contract will have as starting date the provisional activation         date ${currentContractVersion.supposedActivationDate}, Are you sure?","Обратите внимание, что в качестве даты начала контракта будет указана ожидаемая дата активации ${currentContractVersion.предположитеактивацияdate}, вы уверены ?",,
"Auto enable version on renew","Автоматически активировать версию при продлении",,
"Automatic invoicing","Автоматическое выставление счетов",,
