"key","message","comment","context"
"%d times","%d время",,
"1",,,
"1 to 20","1 до 20",,
"100 to 500","100 до 500",,
"1000 to 2000","1000 до 2000",,
"2",,,
"20 to 100","20 до 100",,
"3",,,
"4",,,
"5",,,
"500 to 1000","500 до 1000",,
"<><Badge bg=""warning"">The selected date is in the past.</Badge></>","<><Badge bg=""warning"">Выбранная дата уже в прошлом.</Badge></>",,
"<><Badge bg=""warning"">There is already a lead with this name.</Badge></>","<><Badge bg=""warning"">Лид с таким именем уже есть.</Badge></>",,
"<a class='fa fa-google' href='http://www.google.com' target='_blank' />",,,
"<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />",,,
"A lost reason must be selected","Должна быть выбрана потерянная причина",,
"Account owner","Владелец счета",,
"Action","Действие",,
"Active agency","Активное агентство",,
"Activities","Активности",,
"Activity","Активность",,
"Add","Добавить",,
"Add a guest","Добавить гостя",,
"Address","Адрес",,
"Advanced export","Расширенный экспорт",,
"After n repetitions","После n повторений",,
"Agencies","Агентство",,
"Agencies management","Управление агентствами",,
"Agency","Агенты",,
"All events","Все события",,
"All opportunities","Все возможности",,
"All past events","Все прошедшие события",,
"All prospects","Все перспективы",,
"All upcoming events","Все предстоящие события",,
"All users","Все пользователи",,
"Amount","Сумма",,
"Amount :","Сумма :",,
"App",,,
"App Crm",,,
"App crm",,,
"Apply changes to all recurrence's events","Применить изменения ко всем событиям повторения",,
"Apply changes to this event only","Применить изменения только к этому событию",,
"Apply modifications","Применить изменения",,
"Apply modifications for all","Применить изменения ко всем",,
"Assign to","Назначить в",,
"Assign to me","Назначить на меня",,
"Assignable Users","Назначаемые пользователя",,
"Assigned to","Назначить на",,
"At specific date","В конкретную дату",,
"At the date","На дату",,
"Attendee","Посетитель",,
"Available","Доступный",,
"Batchs","Пакеты",,
"Before start date","До даты начала",,
"Best Open Deals","Лучшие открытые сделки",,
"Best case","Лучший случай",,
"Busy","Занято",,
"CRM","CRM",,
"CRM Activities","CRM Активности",,
"CRM Batch","CRM Пакет",,
"CRM batch","CRM пакет",,
"CRM batches","CRM пакеты",,
"CRM config","CRM конфигурация",,
"CRM config (${ name })","CRM конфигурация (${ name })",,
"CRM configuration","CRM конфигурация",,
"CRM configurations","CRM конфигурации",,
"CRM events","CRM события",,
"Call","Звонок",,
"Call Event (${ fullName })","Вызов события (${ fullName })",,
