"key","message","comment","context"
"Acquisition Date","Дата приобретения",,
"Activation Cost","Затраты на активацию",,
"Active","Активный",,
"Additional Properties","Параметры",,
"Amount","Сумма",,
"Archived","Архивированный",,
"Automatic","Автоматическое",,
"Booking","Резервирование",,
"BookingDate","Бронирование Даты",,
"Brand","Марка",,
"CO2 Emissions","выбросов CO2",,
"Car value","Стоимость автомобиля",,
"Category","Категория",,
"Cause of repair","причина ремонта",,
"Chassis Number","номер шасси",,
"Color","цвет",,
"Company","Компания",,
"Configuration",,,
"Confirmed","Утвержденный",,
"Contact set","Контакты",,
"Contract Expiration Date","Дата истечения срока действия контракта",,
"Contract Reference","ссылка на контракт",,
"Contract Start date","Дата начала действия контракта",,
"Contract details","Детали контракта",,
"Contract number","номер контракта",,
"Contractor","Договаривающаяся сторона",,
"Cost","Затраты",,
"Customer","Клиент",,
"Daily","Ежедневный",,
"Date",,,
"Date of repair","Дата ремонта",,
"Diesel",,,
"Doors","Количество",,
"Draft","черновых дверей",,
"Driver","Водитель",,
"Electric","Электрический",,
"Engine Options","Параметры двигателя",,
"Fleet","Автомобильный парк",,
"Fuel card code","Код топливной карты",,
"Fuel card number","Номер топливной карты",,
"Fuel log","Расход топлива",,
"Fuel type","Тип топлива",,
"Gasoline","бензин",,
"General Properties","Свойства",,
"Horse Power","Количество лошадей",,
"Horse Power Tax","Налог на мощность (в налоговых лошадиных силах)",,
"Hybrid","Гибридный",,
"Image","Логотип",,
"In Progress","Текущий",,
"Included Services","Включенные услуги",,
"Information",,,
"Insurance","Страховка",,
"Invoice Reference","справка по счету-фактуре",,
"Invoice date","Дата выставления счета",,
"Kilometric value","Пробег",,
"Leasing","Лизинг",,
"Liter","Литр",,
"Location",,,
"Manual","Ручное Размещение",,
"Mileage","Пробег",,
"Model",,,
"Monthly","Ежемесячный Шаблон",,
"Name","Название",,
"None","Ни один",,
"Notes",,,
"Odometer","Пробег",,
"Odometer unit","Единица измерения расстояния",,
"Odometers","Пробег",,
"Partner set","Третье сословие",,
"Plate number","Регистрация",,
"Power(KW)","Мощность",,
"Price per Liter","Цена за литр",,
"Purchaser","Покупатель",,
"Recurring Cost","Текущие расходы",,
"Recurring Cost Frequency","Частота повторения стоимости",,
"Recurring Costs","Текущие расходы",,
"Refueling details","Полная информация",,
"Rent end","Конец аренды",,
"Rent start","Начало аренды",,
"Rental","Прокат",,
"Rental car","Арендованный автомобиль",,
"Repairing","Устранение неисправности",,
"Repairs","Ремонтные работы",,
"Seats","Количество мест в транспортном средстве",,
"Service Type","Тип службы",,
"Service log","журнал служб",,
"Services","Услуги",,
"State","Состояние",,
"Status","Состояние",,
"Tags","Этикетки",,
"Terminated","Законченный",,
"Terms and Conditions","Общие условия",,
"To Close","К закрытию",,
"Total Price","общая стоимость",,
"Total cost","Общая сметная стоимость",,
"Transmission",,,
"Type",,,
"Unit","Единица",,
"Vehicle","Транспортное средство",,
"Vehicle Contract","Договоры",,
"Vehicle Cost","Расходы",,
"Vehicle Fuel","Расход топлива",,
"Vehicle Fuel Log","Показания с пробегом",,
"Vehicle Model","Модель транспортного средства",,
"Vehicle Recurring Cost","Периодическая стоимость",,
"Vehicle Service","услуг журнал",,
"Vehicle Service Log","Управление",,
"Vehicle Service Type","Тип обслуживания",,
"Vehicle brands","марки транспортных средств",,
"Vehicle contract","Контракт",,
"Vehicle contracts","Контракт",,
"Vehicle cost","Стоимость автомобиля",,
"Vehicle fuel log","Расход топлива",,
"Vehicle models","Модель транспортного средства",,
"Vehicle odometer","Показания пробега транспортных средств",,
"Vehicle rent","Аренда автомашин",,
"Vehicle service","Услуги",,
"Vehicle service list","Таблица журнала служб",,
"Vehicle service log","журнал служб",,
"Vehicle service type","Тип услуги",,
"Vehicle sevice type","Тип услуги",,
"Vehicle tag","Этикетка транспортного средства",,
"Vehicle tags","Этикетки для транспортных",,
"Vendor","средств поставщик",,
"Vendors","поставщики",,
"Warning Date","Дата оповещения",,
"Weekly","Еженедельный",,
"Yearly","Ежегодный",,
"g/km",,,
"value:Fleet","Автомобильный парк",,
