"key","message","comment","context"
"0 %",,,
"10 %",,,
"100 %",,,
"20 %",,,
"30 %",,,
"40 %",,,
"50 %",,,
"60 %",,,
"70 %",,,
"80 %",,,
"90 %",,,
"ALL","Весь",,
"All SLA","Все Слас",,
"All ticket types","Все типы билетов",,
"All tickets","Все билеты",,
"App",,,
"App helpdesk","Служба поддержки клиентов приложений",,
"Apply on","Распространяется на",,
"Assign to me","назначенные мне",,
"Assigned to","Назначенный на",,
"Cancel","Отменить",,
"Characteristics","Особенности",,
"Close","Закрыть",,
"Closed","Закрытый",,
"Closed status","Статус закрыт",,
"Closed ticket status does not exist. Please configure at least one.","Закрытого статуса билета не существует. Пожалуйста, настройте один из них.",,
"Code",,,
"Configuration",,,
"Current tickets","Текущие билеты",,
"Customer","Клиент",,
"Customer contact","Контакт с клиентом",,
"Dates",,,
"Deadline","Предельный срок",,
"Default status","Статус по умолчанию",,
"Default ticket status does not exist. Please configure at least one.","Статуса билета по умолчанию не существует. Пожалуйста, настройте один из них.",,
"Description",,,
"Duration","Продолжительность",,
"End date","Дата окончания",,
"Follow-up","с последующим отслеживанием",,
"From Date","Дата",,
"Full name",,,
"Helpdesk","Служба поддержки клиентов",,
"High","Верхняя Гаронна",,
"In progress","Текущий",,
"Late tickets","Низкие просроченные билеты",,
"Low",,,
"Manage Timer","управление таймером",,
"Minimum priority","минимальный приоритет",,
"My team tickets","Билеты моей команды",,
"My tickets","Мои билеты",,
"Name",,,
"New","новое имя",,
"Normal",,,
"Not assigned tickets","Незарегистрированные билеты",,
"Number of tickets per SLA & per team","Количество билетов на SLA & на команду",,
"Number of tickets per SLA & per user","количество билетов на SLA & на пользователя",,
"On going status","Текущий статус",,
"On going ticket status does not exist. Please configure at least one.","Статуса ""в процессе"" для заявки не существует. Пожалуйста, настройте один из них.",,
"Overview","Предварительный просмотр",,
"Partner",,,
"Percentage","Процент",,
"Percentage of repartition tickets per state","процент распределения билетов по штатам",,
"Percentage of tickets per SLA & per team","процент билетов по SLA & по командам",,
"Percentage of tickets per SLA & per user","процент билетов по SLA & по пользователям",,
"Please select tickets","Пожалуйста, выберите билеты",,
"Priority","Приоритет",,
"Progress","Прогрессия",,
"Progress (%)","Прогрессии (%)",,
"Project","Проект",,
"Projects","Проекты",,
"Reach in","Достигнуто на",,
"Reach stage","достигнутом этапе",,
"Real total duration (Hours)","Фактическое общее время (часы)",,
"Reportings",,,
"Resolve","Решить",,
"Resolved","Решенный",,
"Resolved status","Статус решен",,
"Resolved ticket status does not exist. Please configure at least one.","Статуса ""решено"" для заявки не существует. Пожалуйста, настройте один из них.",,
"SLA","SLA",,
"SLA Policy","Устав SLA",,
"SLA completed","Удовлетворенные условия обслуживания",,
"SLA dashboard","Условия предоставления услуг TdB",,
"SLA policies","Уставы SLA",,
"SLA policy name","Название устава SLA",,
"Solved","решено",,
"Stage to reach","Статус, которого необходимо достичь",,
"Start","Запустить",,
"Start date","Дата начала",,
"Status","Статус",,
"Stop","Остановить",,
"Subject","Тема",,
"Take charge","Принимать",,
"Target",,,
"Team","Командная Цель",,
"Ticket",,,
"Ticket Number","Билет № ",,
"Ticket NВ°",,,
"Ticket Type","Тип билета",,
"Ticket created","Созданный билет",,
"Ticket dashboard","Билет TdB",,
"Ticket filters","Фильтры Билетов",,
"Ticket status","Статус билета",,
"Ticket statuses","Статусы билетов",,
"Ticket type","Тип билетов",,
"Ticket types","Типы билетов",,
"Tickets","Билеты",,
"Tickets by ticket type","Билеты по типу билета",,
"Timer","Секундомер",,
"Timer list","список секундомеров",,
"Timer state","Состояние секундомера",,
"To Date","Дата в",,
"Total duration (Hours)","Общая продолжительность (часы)",,
"Total tickets","Всего билетов",,
"Unsolved","Нерешенные",,
"Urgent",,,
"User","Пользователь",,
"User in charge of the issue","Пользователь, отвечающий за проблему",,
"Workflow to update status to value provided is not supported by ticket.","Процесс обновления статуса до указанного значения не поддерживается объектом Ticket",,
"Working Days","Рабочие дни",,
"chart.resolved","Решенные",,
"days","дни",,
"hours",", часы",,
"value:Helpdesk","Служба поддержки клиентов",,
