"key","message","comment","context"
"% in paper format","% в бумажном",,
"%d expense treated successfully,","виде %d платежная ведомость успешно обработана.",,
"%d expenses treated successfully,","%d платежные ведомости успешно обработаны.",,
"%d leave reason(s) treated and %d anomaly(ies) reported !","%обработанных типов (типов) отсутствий и %обнаруженных аномалий",,
"%s date is invalid. It must be included in the timesheet's period.","Дата %s недействительна. Она должна быть включена в период, указанный в табеле учета рабочего времени.",,
"6 days week","6 дней в неделю",,
"<><Badge bg=""warning"">At least one line of this expense exceeds the authorised amount for its type of expense.</Badge></>","<><Значок bg=""предупреждение "">по крайней мере, одна строка в этом примечании о расходах превышает сумму, разрешенную для данного типа расходов.< / значок></> ",,
"<br/>Example:<br/>Start unit : day<br/>End unit : hour<br/><strong>$Project.numberHoursADay$</strong><br/>","<br/>пример: <br/> единица измерения источника: день<br/> целевая единица измерения : время<br/><сильный>$Project. numberHoursADay$< / сильный><br/>",,
"A leave line will be created automatically every month for concerned employee if automatic incrementation is enabled.","Строка отпуска будет автоматически создаваться каждый месяц для соответствующих сотрудников, если включено автоматическое увеличение.",,
"A leave line will be created automatically every year for concerned employee if automatic incrementation is enabled.","Строка отпуска будет автоматически создаваться каждый год для соответствующих сотрудников, если включено автоматическое увеличение.",,
"A leave request is already accepted over this or a portion of this period of time. Please cancel the previous one to accept this one.","Заявление на отпуск уже принято в течение этого периода или его части. Пожалуйста, отмените предыдущий, чтобы принять этот запрос.",,
"ADD A LINE","Добавить строку",,
"Absent",,,
"Account information","Бухгалтерская информация",,
"Accounting","Бухгалтерский учет",,
"Acquired","Приобретенный",,
"Action",,,
"Actions",,,
"Activate MyHR enables the HR menu entries for employees.","Включение MyRH позволяет активировать пункты меню для сотрудников.",,
"Active","Активный",,
"Active employee","Активный сотрудник",,
"Active employees","Активные сотрудники",,
"Activity","Деятельность",,
"Activity on timesheet line is not enabled.","Действия в строках расписания не включены.",,
"Add a line","Добавить строку",,
"Add an advance","Добавить аванс",,
"Add lines","Добавить строки",,
"Add multiple lines",,,
"Add to expense","Добавить в накладную",,
"Advance","Передовой",,
"Advance management","Управление авансами",,
"Afternoon","Послеобеденное время",,
"Alert if the manuf. order is finish","Предупредить, когда выбранный OF будет завершен",,
"All","Весь",,
"All companies","Все компании",,
"All lines must have the same currency.","Все строки должны иметь одинаковую валюту.",,
"All lines must have the same employee.","На всех линиях должен быть один и тот же сотрудник.",,
"All remaining leaves will be transferred to the selected leave type. Only incremental type can be chosen.","Все оставшиеся отпуска будут переведены в выбранный тип отпуска. Могут быть выбраны только дополнительные отпуска.",,
"All timesheets","Все табели учета рабочего времени",,
"Allow Injection","Разрешить Инъекцию",,
"Allow expense creation","Разрешить ввод сборов",,
"Allow negative value for leaves","Разрешить отрицательные значения для отпуска",,
"Allow negative values for employee leaves","Разрешить отрицательные значения для отпусков сотрудников",,
"Allow to associate a product to the timesheet line (pre-requisite: only for product type that are services and Activity field is TRUE). Additional configuration can also be found in Application config --> Users/companies --> Companies --> Human resources config.","Позволяет связывать продукты со строками расписания (обязательное условие : только для продуктов с типом ""услуга"" и полем ""деятельность"" должен быть установлен флажок). Дополнительные конфигурации доступны в разделе Конфигурация приложения -> пользователи/компании - > компании -> выбрать компанию -> конфигурация отдела кадров.",,
"Allow updates via editor","Разрешить сдвиги через редактор",,
"Allows external employees to declare expenses. Unlike expense, these declarations do not generate an account move but can be validated before being re-invoiced on a project. External employee costs are reimbursed as part of the payment of a supplier invoice.","Позволяет внешним сотрудникам сообщать о расходах. В отличие от Ведомостей расходов, эти выписки не требуют записи, но могут быть проверены перед выставлением повторного счета по проекту. Расходы на внешних сотрудников возмещаются в рамках оплаты счета поставщика. ",,
"Alone meal","питание в одиночку",,
"Also export already exported payroll preparations","Также всегда экспортируйте уже экспортированные платежные ведомости",,
"Always",,,
"Amendment","Жироприказ",,
"Amendment Date","Дата внесения изменений",,
"Amendment type","Тип дополнения",,
"Amendment types","Тип одобрений",,
"Amount","Сумма",,
"Amount limit","Ограничение по сумме",,
"An employee can directly make a request of this leave reason.","Сотрудник может напрямую подать заявку на этот вид отпуска.",,
"Analytic distribution","Аналитическое распределение",,
"Analytic distribution lines","Аналитическая линия распределения",,
"Analytic distribution template","Аналитическая модель распределения",,
"Annual expenses report","Годовой отчет о расходах",,
"Annual gross salary","Годовая валовая заработная плата",,
"Annual report","Годовой отчет",,
"Annual schedule","Годовой планировщик",,
"Anomaly","Аномалия",,
"App",,,
"App Expense","Примечание о расходах",,
"App Leave","Просьбы об отпуске",,
"App Timesheet","Табели учета рабочего времени",,
"App employee",,,
"App expense",,,
"App leave",,,
"App project",,,
"App timesheet",,,
"Application condition","Условие применения",,
"Are you sure wants to remove selected lines?","Вы уверены, что хотите удалить выбранные строки ?",,
"Arriving city","Город прибытия",,
"At least one line of this expense exceeds the authorised amount for its type of expense.","По крайней мере, одна строка в этой Ведомости расходов превышает сумму, разрешенную для ее типа расходов.",,
"Attach to","Прикрепить к",,
"Auto incrementation disabled","Автоматическое увеличение отключено",,
"Auto incrementation enabled","Включено автоматическое приращение",,
"Automatic generation dates must be included in the timesheet period","Даты автоматической генерации должны быть включены в период, указанный в табеле учета рабочего времени",,
"Automatic incrementation","Автоматическое приращение",,
"Automatically generated",,,
"Available Stock of Lunch Vouchers","Доступен запас билетов в ресторан",,
"Available quantity (acquired)","Доступное (приобретенное)количество",,
"Available quantity (before validation)","Доступное количество (до подтверждения)",,
"Balance",,,
"Bank","Банк",,
"Bank Order","Банковский ордер",,
"Bank card","Банковская карта",,
"Bank cards","Банковские карты",,
"Bank details","Банковские реквизиты",,
"Base amount per employee","База надбавок на одного сотрудника",,
"Basic information","Основная информация",,
"Batches","Массовые процедуры",,
"Batchs","Массовые процедуры",,
"Benefits and expenses","Льготы и сметы расходов",,
"Birth date","Дата рождения",,
"Block expense tax modification","Предотвратить введение НДС по НДФЛ",,
"Bonus coefficient","коэффициент",,
"Bonus type","Тип премии",,
"Bonuses","Принимаешь",,
"Both","Пара",,
