"key","message","comment","context"
"Action","Действие",,
"Activate recurrence planning","Активировать планирование повторения",,
"Address","Адрес",,
"Advanced monitoring","Расширенное отслеживание",,
"Advanced monitoring address","Расширенный адрес для отслеживания",,
"Advanced startup monitoring range","Расширенный диапазон отслеживания на старте",,
"After sale service sale order follow up","Отслеживание предложения SAV",,
"Afternoon","После полудня",,
"All articles must belong to the same partner","Все предметы должны принадлежать одной и той же третьей",,
"All required questions of the survey must be answered to finish the intervention.","стороне на все обязательные вопросы анкеты необходимо ответить, чтобы завершить выступление.",,
"Already in requested status.","Уже в запрашиваемом статусе.",,
"Answer","Ответ",,
"Answer type","Тип ответа",,
"Answer types","Типы ответов",,
"Answer value","Значение ответа",,
"Answer values","Значения ответов",,
"Answered","Ответивший",,
"App","Апп",,
"App Intervention","Вмешательство приложения",,
"App intervention","Вмешательство приложения",,
"Are you sure wants to remove selected lines?","Вы уверены, что хотите удалить выбранные строки?",,
"Are you sure wants to remove selected questions?","Вы уверены, что хотите отозвать выбранные вопросы?",,
"Article","Статья",,
"Assets management","Клиентский парк",,
"Assigned to","Назначенный для",,
"Attached file","Прикрепленный файл",,
"Auto generate customer request","Автоматически генерировать клиентский запрос",,
"Batches","Партии",,
"By equipment","По оборудованию",,
"By equipment family","По семейству оборудования",,
"Cancel","Отменить",,
"Cancelled","Отмененный",,
"Cannot go to requested status from current status.","Невозможно получить доступ к запрошенному статусу из текущего статуса.",,
"Change equipment","Сменить оборудование",,
"Checkbox","Установить флажок",,
"Checkbox name","Имя флажка",,
"Code","Код",,
"Comments","Комментарии",,
"Commercial","Коммерческий",,
"Commercial follow-up","Коммерческий мониторинг",,
"Commissioning date","Дата ввода в эксплуатацию",,
"Companies","Компании",,
"Company","Компания",,
"Conditional","Условный",,
"Conditional answer values","Значения условного ответа",,
"Conditional intervention question","Вопрос об условном вмешательстве",,
"Conditional range question","Вопрос об условном диапазоне",,
"Configuration","Конфигурация",,
"Confirm","Подтверждать",,
"Confirm planification","Подтвердить планирование",,
"Contact","Контакт",,
"Contact details","Контактная информация",,
"Contract","Договор",,
"Contract related interventions","Вмешательства, связанные с контрактом",,
"Contracts","Контракты",,
"Contractual","Договорный",,
"Could not find equipment with id %s.","Не удалось найти оборудование с идентификатором %s.",,
"Could not find picture with id %s.","Не удалось найти фотографию с идентификатором %s.",,
"Create an intervention","Создать вмешательство",,
"Create new equipment","создать новое оборудование",,
"Create new equipment model","Создать новую модель оборудования",,
"Create range question","Создать вопрос о диапазоне",,
"Created by","Созданные",,
"Created on","Созданный на",,
"Customer request","Запрос клиента",,
"Customer request can't be generated as some required fields are missing.","Запрос клиента не может быть сгенерирован, потому что некоторые необходимые поля не заполнены.",,
"Customer requests","Запросы клиентов",,
"Customer warranty on part end date","Дата окончания гарантии на деталь клиента",,
"Customer.Equipments","Клиентский парк",,
"Date","Дата",,
"Default intervention category","Категория вмешательства по умолчанию",,
"Default intervention category from contract batch","Категория интервенций по умолчанию для интервенций по контрактам",,
"Default intervention description","Описание вмешательства по умолчанию",,
"Default previsional duration","Ожидаемое время по умолчанию",,
"Default request source","Источник запроса по умолчанию",,
"Default request source from contract batch","Источник запроса по умолчанию для интервенций по контрактам",,
"Default request subject","Объект запроса по умолчанию",,
"Default request subject from contract batch","Предмет запроса по умолчанию для интервенций по контрактам",,
"Default text value","Текстовое значение по умолчанию",,
"Default type for interventions from contracts","Тип по умолчанию для интервенций по контрактам",,
"Delay to send the quotation (h)","Время отправки предложения (ч)",,
"Delete","Удалить",,
"Delete btn","Удалить btn",,
"Delete range questions","Удалить вопросы диапазона",,
"Delivered partner","Доставлено третьей стороной",,
"Description","Описание",,
"Designation","Обозначение",,
"Desired unit","Желаемый блок",,
"Display all linked interventions by the contract","Отображает все вмешательства, связанные контрактом",,
"Draft","Проект",,
"Duration","Продолжительность",,
"Duration in","Продолжительность в отрезках",,
"Durations","Сроки действия",,
"Email sent","Отправленное электронное письмо",,
"End date","Дата окончания",,
"Equipment","Оборудование",,
"Equipment / Contract","Оборудование / Контракт",,
"Equipment families","Семейства оборудования",,
"Equipment family","Семейство оборудования",,
"Equipment filters","Фильтры оборудования",,
"Equipment informations","Информация об оборудовании",,
"Equipment line Product label","Продукт линии оборудования",,
"Equipment line filters","Фильтры линейки оборудования",,
"Equipment lines","Линии оборудования",,
"Equipment model","Модель оборудования",,
"Equipment models","Модели оборудования",,
"Equipment ranges","Ассортимент оборудования",,
"Equipments","Оборудование",,
"Equipments lines","Линии оборудования",,
"Equipments tree","Дерево оборудования",,
"Error happened during process execution","Во время выполнения процесса произошла ошибка",,
"Error opening zip file %s: %s","Ошибка при открытии zip-файла %s : %s",,
"Estimated date","Предполагаемая дата",,
"Estimated end date time","Предполагаемая дата и время окончания",,
"Estimated month","Расчетный месяц",,
"Exclusive intervention","Исключительное вмешательство",,
"Fail","Сбой",,
"Faulty equipments number","количество неисправного оборудования",,
"File","Файл",,
"Filters","Фильтры",,
"Finish","Заканчивать",,
"Finish manually","Завершить вручную",,
"Finished","Законченный",,
"Finished interventions","Завершенные выступления",,
"Following","Мониторинг",,
"Following : No","Последующие действия : нет",,
"Following : Yes","Последующие действия : да",,
"Following questions","вопросы с последующими действиями",,
"Footer ranges","Диапазоны ног",,
"GIT","GTI",,
"GIT / GRT","GTI / GTR",,
"GIT status","Статус GTI",,
"GRT","GTR",,
"GRT status","Статус GTR",,
"Generate equipments","генерировать оборудование",,
"Generate intervention for active contracts","генерировать вмешательства для действующих контрактов",,
"Generate interventions","генерировать вмешательства",,
"Generate sale order","Сгенерировать смету",,
"Guaranteed intervention time (h)","гарантированное время выполнения заказа (ч)",,
"Guaranteed recovery time (h)","Гарантия времени восстановления (ч)",,
"Header ranges","Диапазоны заголовков",,
"Hidden","Скрытый",,
"Home","Домашний",,
"Hour","Час",,
"Important","Важный",,
"Impossible to remove equipment model that has children's equipment models","Невозможно удалить модели оборудования, в которых есть дочерние модели оборудования",,
"Impossible to remove equipment that has children's equipment","Невозможно удалить оборудование, на котором установлено детское оборудование",,
"In progress","Текущий",,
"In progress interventions","Текущие мероприятия",,
"In service","В эксплуатации",,
"Indication","Указание",,
"Indication text","Текст указания",,
"Indicator","Индикатор",,
"Information","Информация",,
"Intervention","Вмешательство",,
"Intervention address","Адрес вмешательства",,
"Intervention batch","Пакетное вмешательство",,
"Intervention batches","Пакетное вмешательство",,
"Intervention categories","Категории вмешательства",,
"Intervention category","Категория вмешательства",,
"Intervention config","Конфигурация. Вмешательство",,
"Intervention config (${ name })","Конфигурация. Вмешательство (${ имя })",,
"Intervention configuration","Конфигурационное Вмешательство",,
"Intervention configurations","Конфигурации Вмешательства",,
"Intervention note","Вступительная записка",,
"Intervention note type","Тип записки о выступлении",,
"Intervention note types","Типы заметок о выступлениях",,
"Intervention notes","Заметки о вмешательстве",,
"Intervention question","вопрос о вмешательстве",,
"Intervention question state","состояние вопроса о вмешательстве",,
"Intervention questions","вопросы о вмешательстве",,
"Intervention range","диапазон вмешательств",,
"Intervention ranges","диапазоны вмешательств",,
"Intervention type","Тип вмешательства",,
"Intervention types","Виды вмешательства",,
"Intervention.endDateTime","Дата и время окончания",,
"Intervention.lastStartDateTime","Дата последнего запуска",,
"Intervention.startDateTime","Дата и время запуска",,
"Interventions","Вмешательства",,
"Interventions will be generated if the date of the next visit is less than this delay.","Вмешательства будут инициированы, если дата следующего посещения будет меньше этого срока.",,
"Invalid data","Неверные данные",,
"Invoiced partner","Партнер, которому выставлен счет",,
"Is answered ?","Ответил ?",,
"Is conditional ?","Условный ?",,
"Is default ?","По умолчанию ?",,
"Is private ?","Личное ?",,
"Is required ?","Требуется ?",,
"Is survey generation running","Проходит ли генерация вопросника ?",,
"Justification","Обоснование",,
"Last maintenance visit date done","Дата последнего визита на техническое обслуживание",,
"Link","Ссылка",,
"Linked intervention","на связанное вмешательство",,
"Linked intervention types","Связанные типы вмешательств",,
"Linked interventions","Связанные вмешательства",,
"Linked ranges","Связанные диапазоны",,
"Linked sale order","Связанная цитата",,
"Max GIT date time","Дата и время GTI max",,
"Max GRT date time","Дата и время максимальное",,
"Measure","измерение ГТП",,
"Message template","Шаблон сообщения",,
"Month","Месяц",,
"Morning","Утро",,
"Name","Имя",,
"New btn","Новый btn",,
"Next annual visit date","Дата следующего ежегодного визита",,
"Next intervention","Следующее вмешательство",,
"Next visit delay (in months)","Время следующего посещения (в месяцах)",,
"No","Нет",,
"No date time in request body.","Нет даты/времени в запросе.",,
"No planned duration in request body.","В запросе нет запланированной продолжительности",,
"No planned technician user id in request body.","В запросе нет запланированного идентификатора технического пользователя.",,
"No preference","Равнодушный",,
"No valid zip file found.","Действительный zip-файл не найден.",,
"Non conforming questions","Вопросы с несоответствиями",,
"Non respected","Не соблюдается",,
"Non-conforming","Несоответствие",,
"Non-conforming :","Несоответствие :",,
"Normal","нормального",,
"Not answered","Без ответа",,
"Nothing has been generated.","Ничего не было сгенерировано.",,
"Number of elements to generate","Количество элементов, которые необходимо сгенерировать",,
"Number of maintenance hours","количество часов обслуживания",,
"Off-contract and non-operational","Вне контракта и не работает",,
"Off-contract and operational","Вне контракта и в рабочем состоянии",,
"Office","Офис",,
"Offline","Исключительный",,
"Ok","Хорошая",,
"On alert","В боевой готовности",,
"On-call management","Управление ограничениями",,
"On-call planning","График выполнения обязательств",,
"Open survey","Открыть анкету",,
"Opportunity","возможность",,
"Order","порядок",,
"Ordered range","Упорядоченный диапазон",,
"Out of service","Выводить из строя",,
"Outsourcing","Субподряд",,
"Overview","Обзор",,
"Parent model","Родительская модель",,
"Parent place","Родительское местоположение",,
"Park model","Модель парка",,
"Park models","модели парков",,
"Partner","Партнер",,
"Partner trading name","Торговое наименование партнера",,
"Periodicity","Периодичность",,
"Picture","Фотография",,
"Pictures","Фотографии",,
"Place","Место",,
"Plan","Планировать",,
"Planification","Планирование",,
"Planification date time","Дата и время планирования",,
"Planned","Планируемый",,
"Planned intervention duration","Запланированная продолжительность вмешательства",,
"Planning preference","Предпочтения в планировании",,
"Please save to add equipments to your park model.","Пожалуйста, сделайте резервную копию, чтобы добавить оборудование в модель вашего парка.",,
"Previous intervention","Предыдущее вмешательство",,
"Priority","Приоритет",,
"Private","Частный",,
"Project","Проект",,
"Qty","Кол-во",,
"Quantity","Количество",,
"Question","Вопрос о количестве",,
"Questions","Вопросы",,
