"key","message","comment","context"
"Action","Если соблюдены все условия",,
"Actions",,,
"All reached",,,
"Allocate all","Назначенный на",,
"Alternative Bill of materials",,,
"Assigned to","Номенклатура",,
"BOM.machine",,,
"Bill of Materials",,,
"Bill of materials","Номенклатуры",,
"Bills of material",,,
"Bills of materials",,,
"Cancel",,,
"Cancel Reason",,,
"Cancel reservation",,,
"Canceled","Завершенная",,
"Complete",,,
"Completed",,,
"Compute cost price",,,
"Configuration",,,
"Consumed products",,,
"Corrective","Создать запрос на обслуживание",,
"Cost","Заявки, которые необходимо выполнить",,
"Create maintenance request","Циклы",,
"Current requests",,,
"Cycles","Дни",,
"Dates",,,
"Days",,,
"Deallocate all","Достигнутый ",,
"Default Bill of materials","Продолжительность (Часы)",,
"Done on",,,
"Duration (Hours)","Техническое обслуживание оборудования",,
"End date","Техническое обслуживание оборудования",,
"Equipement maintenance",,,
"Equipement maintenances",,,
"Event end date","Срок",,
"Event start date",,,
"Expected date","Если достигнуто первое условие",,
"Finish",,,
"First reached","Общие производственные диапазоны",,
"General BoM",,,
"General production processes","Генерировать запрос каждый",,
"Generate new version","производственный час",,
"Generate request each","Текущий",,
"Hours of production",,,
"In progress",,,
"MO's comment from sale order",,,
"MO's comment from sale order line","Тип машины",,
"Machine",,,
"Machine type","Недоступность машин",,
"Machines","Техническое обслуживание",,
"Machines unavailable","Категория обслуживания",,
"Maintenance","Обслуживание файлов",,
"Maintenance Category","Процедура технического обслуживания",,
"Maintenance File","Запрос на техническое обслуживание",,
"Maintenance Procedure","Запрос на техническое обслуживание",,
"Maintenance Request","Спецификация шаблона технического обслуживания",,
"Maintenance Requests","Обратная связь обслуживание",,
"Maintenance bill of materials template","Образец производственного заказа на техническое обслуживание",,
"Maintenance comments","Порядок технического обслуживания",,
"Maintenance manuf order template","Заказы на техническое обслуживание",,
"Maintenance order","Периоды технического обслуживания",,
"Maintenance orders","Модель диапазон технического обслуживания",,
"Maintenance periods","Техническое обслуживание, которое необходимо выполнить",,
"Maintenance prod process template","Машина",,
"Maintenance task","Тип Машины",,
"ManufOrder.machine","Производственный заказ",,
"ManufOrder.machineType",,,
"Manufacturing Order",,,
"Manufacturing order",,,
"Manufacturing orders","Отсутствует последовательность обслуживания оборудования.",,
"Merged MO","Мои запросы на техническое обслуживание",,
"Missing equipement maintenance sequence.",,,
"My Maintenance requests","Следующая дата технического обслуживания",,
"Name",,,
"Next maintenance date",,,
"Note",,,
"Number of phases",,,
"Options",,,
"Outsourced",,,
"Partial Finish",,,
"Pause","Индивидуальные производственные линии",,
"Permanent",,,
"Personalized production processes",,,
"Phases",,,
"Plan","Пожалуйста, выберите производственные заказы для печати",,
"Planned dates",,,
"Please select the Manufacturing order(s) to print.","Профилактическая",,
"Pre-fill operations",,,
"Preventive",,,
"Print",,,
"Print Production Process",,,
"ProdProcess.machine",,,
"Product",,,
"Production configuration","Диапазоны",,
"Production process",,,
"Production processes","Перепланировать",,
"Real dates",,,
"Replan","Запрошенный",,
"Reports","Дата подачи заявления",,
"Request By","История акций",,
"Request date",,,
"Request history",,,
"Reserve all",,,
"Residual products",,,
"Resume","Начинать",,
"Sequence",,,
"Start",,,
"Start date",,,
"State",,,
"Total Lead Duration",,,
"Total Planned Duration",,,
"Total Real Duration",,,
"Type",,,
"Update planned quantities (Components and FP)",,,
"Update product cost price",,,
"Update real quantities (Components and FP)","Ссылка",,
"Version management","Изображение",,
"equipement.maintenance.code",,,
"equipement.maintenance.image","Предполагаемое Описание",,
"equipement.maintenance.name","Техническое обслуживание",,
"maintenance.request.planned","Предусмотренная",,
"value:Maintenance","Техническое обслуживание",,
