"key","message","comment","context"
"A JPQL SELECT query must be used. The first information fetched from the query must be the label and the second one the value. <br>Example : <br>SELECT partner.fullName, count(so.id) FROM Partner partner LEFT JOIN SaleOrder so on partner.id = so.clientPartner GROUP BY partner.fullName <br>Note : <br>- The JPQL query must select at least 2 values. <br>- The first selected value must be a string type. <br>- The second selected value must be a number type (long, decimal, integer). <br>- If more than 2 values are selected, they will be ignored. <br>","Необходимо использовать запрос JPQL SELECT. Первой информацией, полученной из запроса, должна быть метка, а второй-связанное с ней значение. <br>пример : <br>выберите partner. fullName, count(so.id) от партнера партнер оставил присоединиться к SaleOrder и так далее partner.id = so.CLIENTPARTNER GROUP BY partner.полное имя <br>Примечание : <br>- запрос JPQL должен содержать не менее 2 значений. <br> - первое выбранное значение должно иметь тип string. <br> - второе значение должно быть числового типа (длинное, десятичное, целое число). <br> - Если выбрано более 2 значений, они будут проигнорированы. <брутто>",,
"AOS view","Вид AOS",,
"Action",,,
"Activate invoicing on projects","Включить начисление по проектам",,
"Activate multi currency","Активировать мультивалютность",,
"Activity","Деятельность",,
"All","Весь",,
"Allow edition of date","Разрешить редактирование даты",,
"Allow kilometric expenses","Разрешить оплату за пробег",,
"Allow line creation of expense details","Разрешить создание строки из накладной",,
"Allow line creation of timesheet details","Разрешить создание строки из расписания",,
"Allow manual creation of expense","Разрешить создание отчета о расходах вручную",,
"Allow manual creation of timesheet","Разрешить создание расписания вручную",,
"Allow users to manage carrier option for customer deliveries.",,,
"Allows the user to define the position of the menu in the list. By default, the new menu entry is positioned at the end, but it can also be inserted between two existing menus. The order value for standard menus is its index in the list multiplied by 10. So to position a new menu between the first and second menu entries, you need to give it an order between 10 and 20.","""Позволяет пользователю установить положение меню в списке. По умолчанию новое меню располагается в конце, но его также можно вставить между двумя существующими меню. Значением порядка для стандартных меню является его индекс в списке, умноженный на 10. Таким образом, чтобы разместить новое меню между первым и вторым пунктами меню, мы должны присвоить ему порядок от 10 до 20"".",,
"Allows users to fill in the username field on the login page with the qr code present on the user's form view.","""Позволяет пользователям заполнять поле имени пользователя на странице входа с помощью qr-кода, присутствующего в представлении формы пользователя"".",,
"Allows you to customize the active menus for this application. If the menus are not configured then all the menus of the application are available.","""Позволяет настраивать активные меню для этого приложения. Если меню не настроены, то доступны все меню в приложении"".",,
"Allows you to define which fields are visible on timers and timesheet lines form views. By default, if nothing is selected, all fields are visible. This configuration extends the employee's configuration for time allocation.","""Позволяет задать поля, видимые в формах секундомеров и строках расписания. По умолчанию, если ничего не выбрано, видны все поля. Эта конфигурация добавляется к конфигурации сотрудника для учета рабочего времени"".",,
"Allows you to enable this package on the mobile application.",,,
"App","Приложение",,
"App configuration","Настройка приложения",,
"App mobile",,,
"App mobile settings",,,
"Application",,,
"Authorized roles","Разрешенные роли",,
"Authorized values for menuType : menu, separator or submenu","Допустимые значения для типа меню : Меню, разделитель или подменю",,
"Bar","Штрих",,
"Barcode","Штриховой код",,
"Bootstrap icon name, see https://icons.getbootstrap.com/","Имя значка начальной загрузки, см. https://icons.getbootstrap.com/",,
"CRM",,,
"CRM config",,,
"Chart","График",,
