"key","message","comment","context"
"% Gap","Разрыв %",,
"%d MO created.","%d из созданных",,
"%s building","%s в производстве",,
"%s consume","%s в потреблении",,
"%s missing","%s отсутствует",,
"* %s Computed work in progress valuation","Расчетная оценка производственных затрат",,
"* %s Filled SOP lines","* %s заполненных пиковых линий",,
"105",,,
"5",,,
"<b>Missing components</b> :<br/>%s","<b>отсутствующие компоненты< / b> :<br / >%s",,
"A cancel reason must be selected","Должна быть выбрана причина отмены.",,
"A list of sale order lines that will be processed. The lines that can be selected are the ones conforming to the following conditions :\nProduct is storable\nProduct is managed in stock\nProduct is not excluded from mrp\nSale order/quotation has the same stockLocation or a subLocation\nIf MPS, product must be a finished product\nDelivered quantity of the line must be lower than total quantity\nThe line must conform to one or several of the mrp move types",,,
"Action",,,
"Actions",,,
"Add Manuf. Order","Производственный заказ",,
"All Child MO",,,
"All Current Manufacturing Orders","Все производственные заказы в процессе выполнения",,
"All Upcoming Manufacturing Orders","Все предстоящие производственные заказы",,
"All products has been consumed","все продукты были израсходованы",,
"Allocate","Выделить",,
"Allocate all",,,
"Allow to personalize bill of material","Разрешить настройку спецификаций",,
"Allow to personalize production process","Разрешить настройку диапазонов",,
"Alternative Bill of materials","Альтернативная номенклатура",,
"Anomalies",,,
"App",,,
"App Supplychain",,,
"App manufacturing","Производство приложений",,
"App production",,,
"Applicable",,,
"Approval","Официальное признание",,
"Are you sure you want to merge those manufacturing orders?","Вы уверены, что хотите объединить эти производственные заказы ?",,
"Are you sure you want to run the calculation ? Calculation can take a long time.",,,
"As soon as possible","Не раньше",,
"At the latest","Не позднее",,
"Auto request qty for manuf orders","Запросить авто. бронирование для оф",,
"Automatic email was not sent because no default email account and/or no valid email account was found : please create one.","Не удалось отправить автоматическое электронное письмо, поскольку не была найдена учетная запись SMTP по умолчанию и/или она недействительна : пожалуйста, настройте ее",,
"Automatically plan after fusion","Автоматическое планирование после слияния",,
"Automatically plan the manuf. orders generated from sale order","Автоматически планировать производственные заказы, созданные из заказов на продажу",,
"Available stock","Имеющаяся на складе номенклатура",,
"Average Price","ПМП",,
"BOM",,,
"BOM currently has no status","Номенклатура не имеет статуса",,
"BOM is already on draft status","Номенклатура уже находится в черновом состоянии",,
"BOM.billOfMaterialList","Комплектующие",,
"BOM.company","Компания",,
"BOM.defineSubBillOfMaterial","Определить подкласс спецификации",,
"BOM.hasNoManageStock","Не управлять запасами",,
"BOM.priority","Приоритет",,
"BOM.qty","Количество",,
"BOM.residualProducts","остаточных продуктов",,
"BOM.title","спецификации",,
"BOM.unit","Единица",,
"BOM.versionNumber","Номер версии",,
"Back to draft","Вернуться к черновому статусу",,
"Barcode","Штриховой код",,
"Barcode Type","Тип штрих-кода",,
"Batchs","Массовые процедуры",,
"Bill of material","номенклатура",,
"Bill of material line",,,
"Bill of material line list",,,
"Bill of materials","Номенклатура",,
"Bill of materials import","Импорт спецификации",,
"Bill of materials import line","Строка импорта спецификации",,
"Bill of materials import line tree","Дерево импорта спецификации",,
"Bill of materials import lines","Строки импорта спецификации",,
"Bill of materials import source","источник импорта спецификации",,
"Bill of materials import sources","источники импорта спецификации",,
"Bill of materials imports","Импорт номенклатуры номенклатура",,
"BillOfMaterial","номенклатуры",,
"Bills of material","номенклатуры",,
"Bills of material filters","Фильтры спецификации",,
"Bills of materials","спецификации",,
"Bills of materials generated","спецификации сгенерированные спецификации",,
"Binding file","Файл привязки",,
"BoM","Номенклатура",,
"Bom child tree list","Древовидный вид дочерних элементов спецификации",,
"Bom level","Уровень номенклатуры",,
"Bom tree list","Представление дерева спецификации",,
"Brand","Производитель",,
"Buying currency","Валюта покупки",,
"Buying date","Дата покупки",,
"Buying price","Покупная цена",,
"By enabling this, the total cost price will be calculated by considering the real duration (including hours) of production cycle.","Активировав это, общая себестоимость будет рассчитана с учетом фактического времени производства машин",,
"Calculate all BOM levels","Просмотр уровней спецификации",,
"Calculation date","Дата расчета",,
"Calculation in progress",,,
"Calculation number","Расчетный номер",,
"Calculation type","Тип расчета",,
"Calendars",,,
"Cancel","Отменить",,
"Cancel Reason","Причина отмены",,
"Cancel Reasons","Причины отмены",,
"Cancel reason","Причина отмены",,
"Cancel reservation","Отменить бронирование",,
"Canceled","Отмененный",,
"Cancellation","Отмена",,
"Cancellation confirmation","Подтверждение отмены бронирования",,
"Cancelled MOs","Отмененных",,
"Cancelled Operations","Отмененные операции",,
"Cannot add a manufacturing order without a production process. Please check that your chosen bill of materials has a valid production process.","Невозможно добавить производственный заказ. Убедитесь, что в вашей спецификации указан допустимый диапазон.",,
"Cannot make BOM applicable that is not validated","Невозможно установить применимость для неподтвержденной спецификации",,
"Cannot make BOM obsolete that is not applicable","Невозможно поместить неприменимую спецификацию в устаревший статус",,
"Cannot validate BOM that is not draft","Невозможно проверить спецификацию, которая не является черновой",,
"Capacity","Способность",,
"Capacity settings","Параметры емкости",,
"Category","Категория",,
"Change allocated qty","Изменить выделенную сумму",,
"Children MO","Детей",,
"Code",,,
"Comments","Комментарии К Коду",,
"Companies","Компании",,
"Company","Компания",,
"Company_currency",,,
"Completed",,,
"Components","Комплектующие",,
"Components default stock location","Расположение компонентов по умолчанию",,
"Components valuation method for BOM","Метод оценки компонентов номенклатуры",,
"Components valuation method for manuf. order","Метод оценки компонентов для оф",,
"Comput. cost","Расчетная стоимость",,
"Compute cost price","Рассчитать себестоимость",,
"Compute total forecast","Рассчитать общий прогноз",,
"Compute work in progress valuation","Рассчитать оценку производственных процессов",,
"Computed_cost",,,
"Condition","Условие",,
"Configuration",,,
"Configuration issue in product %s: the MRP execution was canceled because a loop was detected when searching for components in BOM.","Ошибка конфигурации продукта %s : запуск CBN был отменен, поскольку при просмотре компонентов спецификаций был обнаружен цикл.",,
"Configuration issue: the MRP execution was canceled because a loop was detected when searching for components in BOM.","Ошибка конфигурации : запуск CBN был отменен, поскольку при просмотре компонентов спецификаций был обнаружен цикл.",,
"Configurator BOM","Конфигуратор спецификации",,
"Configurator BOM component","Конфигуратор компонента спецификации ",,
"Configurator BOM components","Конфигуратор компонентов спецификации",,
"Configurator BOM tree view","Древовидное представление конфигураторов спецификации",,
"Configurator BoM","Конфигуратор спецификации",,
"Configurator Phase","Конфигуратор фаз",,
"Configurator Phases","Конфигуратор фаз",,
"Configurator Prod Process","Конфигуратор диапазона",,
"Configurator Prod Process filters",,,
"Configurator creators","Шаблон конфигуратора",,
"Configurator prod product","конфигуратор потребляемого продукта",,
"Configurator prod products","Конфигуратор потребляемых продуктов",,
"Configurator production process","Конфигуратор диапазона",,
"Configurators","Конфигураторы",,
"Configurators BOMs","Конфигураторы спецификаций",,
"Configurators BOMs tree","Дерево конфигураторов спецификаций",,
"Confirm cancellation","Подтвердить отмену",,
"Confirm forecasts","Подтвердить прогнозы",,
"Consume in stock moves","Потреблять сырье",,
"Consumed product","потребляемый продукт",,
"Consumed product waste","Отходы потребляемого продукта",,
"Consumed products","Потребляемые продукты",,
"Consumed products on phases","Потребление по фазам",,
"Consumed quantity","Потребляемое количество",,
"Consumption","Потребляемое количество",,
"Consumption qty","Потребляемое количество",,
"Content lines","Строки содержимого",,
"Continuity by default","Непрерывность по умолчанию",,
"Control on receipt","Проверка на стойке регистрации",,
"Cost","Затраты",,
"Cost (W.T.)","Стоимость (Час. Т.)",,
"Cost Price","Себестоимость",,
"Cost calculations","Расчет издержек",,
"Cost per process line","Стоимость за фазу диапазонов",,
"Cost price","Себестоимость",,
"Cost price calculation","Расчет себестоимости себестоимость",,
"Cost sheet","листа",,
"Cost sheet - %s","Таблица затрат - %s",,
"Cost sheet group","группа затрат",,
"Cost sheet group for product","Группа затрат на продукт",,
"Cost sheet group for work center","Группа затрат для позиции загрузки",,
"Cost sheet groups","Группы затрат",,
"Cost sheet line","Строка таблицы затрат",,
"Cost sheet line detail","Подробная информация о строках себестоимости",,
"Cost sheet lines","Строки таблицы затрат",,
"Cost sheet valuation","Оценка себестоимости",,
"Cost sheets","Таблицы затрат",,
"Cost sheets tree","Дерево затрат",,
"Cost to apply","Стоимость, которая должна быть применена",,
"Cost type","Тип стоимость",,
"CostSheet","Таблица затрат",,
"CostSheet.ManufOrderNumber","Номенклатура",,
"CostSheet.billOfMaterial","номенклатур",,
"CostSheet.calculationDate","Дата расчета",,
"CostSheet.calculationType","Тип расчета",,
"CostSheet.calculationTypeBillOfMaterial","Номенклатуры",,
"CostSheet.calculationTypeEndOfProduction","Заявление о прекращении производства",,
"CostSheet.calculationTypePartialEndOfProduction","Декларация о частичном изготовлении",,
"CostSheet.calculationTypeWorkInProgress","В процессе производства",,
"CostSheet.company","Компания",,
"CostSheet.costPrice","Себестоимость",,
"CostSheet.costSheetLineBomLevel",,,
"CostSheet.costSheetLineCode",,,
"CostSheet.costSheetLineConsumptionQty","Уровень Nmclд Qt. conso",,
"CostSheet.costSheetLineCostSheetGroup","группа затемняет",,
"CostSheet.costSheetLineName","их",,
"CostSheet.costSheetLineUnit","единицу",,
"CostSheet.costSheetLines","Подробная информация о строках себестоимости",,
"CostSheet.createdBy","Создано",,
"CostSheet.createdOn","созданным",,
"CostSheet.currency","валюта",,
"CostSheet.dateOfEdition","Дата публикации",,
"CostSheet.legend","подпись",,
"CostSheet.lineType","Типизированный",,
"CostSheet.lineTypeConsumeProduct","Потребленный продукт",,
"CostSheet.lineTypeConsumeProductWaste","Отходы потребляемого продукта",,
"CostSheet.lineTypeHuman","Человеческий",,
"CostSheet.lineTypeIndirectCost","Косвенные затраты",,
"CostSheet.lineTypeProduceProduct","Готовое изделие",,
"CostSheet.lineTypeWorkCenter","Зарядная станция",,
"CostSheet.manufOrder","Себестоимость производственного заказа",,
"CostSheet.title",,,
"Cost_to_apply",,,
"Costing settings","Настройки затрат",,
"Costs computed","Расчетные затраты",,
"Costs updated","Обновленные затраты",,
"Could not find main bill of materials generated (BoM level 0).","Не удалось найти сгенерированную основную спецификацию (Уровень 0).",,
"Create a bill of material","Создать спецификацию",,
"Create a production process","создать диапазон",,
"Create production order","Создать производственный заказ",,
"Created by",", созданный",,
"Created from bom import",,,
"Created on",,,
"Created product","Созданный созданный продукт",,
"Created products","Созданные продукты",,
"Currency","Валюта",,
"Customer","Клиента",,
"Customize BOM",,,
"Customize production process",,,
"Cycle unit","Единица цикла",,
"Dashboard","Приборная доска",,
"Data import failed","Импорт данных не удался.",,
"Date of calculation","Дата расчета",,
"Dates","Даты",,
"Deallocate","Освободить",,
"Deallocate all",,,
"Declare delivery to outsource partner","Декларировать поставку субподрядчику",,
"Default BOM","спецификация по умолчанию",,
"Default Bill of materials","Спецификация по умолчанию",,
"Default sequence","Последовательность по умолчанию",,
"Default work center product","Продукт зарядных станций по умолчанию",,
"Define as default BOM of product","Установить по умолчанию",,
"Define sub bill of material","Определить подкатегорию",,
"Define sub bill of materials","Определить подкатегорию",,
"Define with a configurator","Определить с помощью конфигуратора",,
"Define with a script","определить с помощью скрипта",,
"Description","Описание",,
"Descriptions",,,
"Details","Детализация",,
"Diff",,,
"Diff consume manuf order","Разница. Потребительский заказ Фабра.",,
"Diff consume operation order","Разница. Эксплуатационное Потребление",,
"Difference","Разницы",,
"Differences","Разница",,
"Direct Manufacturing","Непосредственно на производстве",,
"Direct Material","Прямо на материю",,
"Display products tree","Просмотр дерева продуктов",,
"Disposal date","Дата утилизации",,
"Do you really wish to create a new version of this bill of materials ?","Вы действительно хотите создать новую версию этой спецификации ?",,
"Do you really wish to create a new version of this production process ?","Вы действительно хотите создать новую версию этой линейки ?",,
"Documents",,,
"Draft","Черновик",,
"Draft MOs","OFs",,
"Draft Operations","черновики черновики операций",,
"Draft orders","Список",,
"Duration (days)","Продолжительность (дни)",,
"Duration (hours)","Продолжительность (часы)",,
"Duration / cycle (hhh:mm:ss)","Время / цикл (ЧЧЧ: мм: СС)",,
"Duration / cycle (in hours)","Продолжительность / цикл (в часах)",,
"Duration between two cycles (hhh:mm:ss)","Время между двумя циклами (ЧЧЧ: мм: СС)",,
"Duration on MOs","Время, проведенное на оф",,
"Employee scheduling","Планирование сотрудника",,
"Enable Tool Management","Включить управление инструментами",,
"Enable production configurator","Включить производственные конфигураторы",,
"Enable the process for other products","Разрешить использование ассортимента для других продуктов",,
"End Month","Месяц окончания",,
"End date","Дата окончания",,
"End month should be after Start Month","Месяц окончания должен быть после месяца начала",,
"End of production","Заявление о прекращении производства",,
"Ending duration (hhh:mm:ss)","Время закрытия (ЧЧЧ: мм: СС)",,
"Ending duration of the machine.","Время закрытия машины.",,
"Error : You must configure a raw material requirement reporting sequence for the company %s","Ошибка : вам необходимо настроить последовательность для отчета о материальных потребностях компании %S.",,
"Error during production's order's creation","Ошибка при создании производственного заказа",,
"Error that happened during the computation",,,
"Error while generating bill of material: the product of the bill of material is supposed to be computed from a script but the script did not return a product.","Ошибка при создании спецификации: продукт спецификации должен быть результатом сценария, но последний не вернул продукт.",,
"Error while generating bill of material: the product of the bill of material is supposed to be filled in the configurator BOM but it was empty.","Ошибка при создании спецификации : продукт спецификации должен быть указан в конфигураторе спецификации, но поле было пустым.",,
"Error while generating bill of material: the product of the bill of material is supposed to be generated from the configurator but the configurator did not generate a product.","Ошибка при создании спецификации : продукт спецификации должен поступать из конфигуратора, но конфигуратор не сгенерировал продукт.",,
"Expected/Future Quantity","Ожидаемое/будущее количество",,
"Export","Экспортировать",,
