"key","message","comment","context"
"%",,,
"%s : You must configure Project module for company %s","%s : пожалуйста"," настройте модуль Project для компании %s",
"%s project","Project %s",,
"0 %",,,
"1 week","1 неделя",,
"10 %",,,
"100 %",,,
"2 weeks","2 недели",,
"20 %",,,
"3 weeks","3 недели",,
"30 %",,,
"40 %",,,
"50 %",,,
"60 %",,,
"70 %",,,
"80 %",,,
"90 %",,,
"<< Previous","<< Предыдущий",,
"Accept Order","Принять предложение",,
"Actions",,,
"Activities","Сектор",,
"Activity","Деятельность",,
"Add Section","Добавить раздел",,
"Add Subtask","Добавить задачу",,
"Add Task","Добавить задачу",,
"Add selected lines","Добавить выбранные строки",,
"Add tags","Добавить метки",,
"Added by","Добавлено",,
"All completed tasks","всеми выполненными задачами",,
"All open tasks","Все открытые задачи",,
"All tasks","все открытые задачи",,
"Alphabetical","В алфавитном порядке",,
"Analytic","Аналитический",,
"Announcement","Объявление",,
"App",,,
"App base",,,
"App project","Проект Приложения",,
"Apply modifications to next tasks","Применить изменения к следующим задачам",,
"Are you sure you want to delete this task ?","Вы уверены, что хотите удалить эту задачу ?",,
"Assigned to","Назначенный на",,
"Assignee","Назначенный",,
"Assigning to the customer","Назначить клиенту",,
"Assigning to the provider","Назначить поставщику услуг",,
"Attrs",,,
"Book resource","Зарезервировать ресурс",,
"Business","Одежда",,
"Business project","Одежда",,
"Calendar","Календарь",,
"Cancel","Отменить",,
"Canceled project status","Статус проекта отменен",,
"Cannot delete section with tasks","Невозможно удалить раздел, содержащий одну или несколько задач(задач)",,
"Categories?","Категории ?",,
"Category","Категория",,
"Characteristics","Характеристики",,
"Check availability of resources","Проверить доступность ресурсов",,
"Client partner",,,
"Close topic","Закрыть тему",,
"Closed","Закрытый",,
"Code",,,
"Company","Компания",,
"Completed ?","Готово ?",,
"Completed project status","Статус завершенного проекта",,
"Completed task status",,,
"Completed tasks","Выполненные задачи",,
"Configuration",,,
"Configurations",,,
"Consolidate sub project when invoicing","Консолидация подпроектов при выставлении",,
"Content","счетов-фактур содержание",,
"Context project","контекст проекта",,
"Contracts","контракты",,
"Convert Task to Project","Преобразование задачи в проект",,
"Convert to project","Преобразовать в проект",,
"Copied to clipboard","Скопировано в буфер",,
"Copy task link","обмена скопируйте ссылку на задачу",,
"Copy task name","Скопировать имя задачи",,
"Create New Task","создать новую задачу",,
"Create business project from this template","создать бизнес из этого шаблона",,
"Create invoicing project","Выставление счета за сделку",,
"Create new customer contract","создать новый контракт с клиентом",,
"Create new supplier contract","создать новый контракт с поставщиком",,
"Create project from this template","создать проект из этого шаблона",,
"Create subtask btn",,,
"Currency","Валюта",,
"Current projects","текущие проекты",,
"Custom field","Настраиваемое поле",,
"Custom fields","Настраиваемые поля",,
"Customer","Клиент",,
"Customer Contact","Контакт с клиентом",,
"Customer Invoice lines","Строки счетов-фактур клиентов",,
"Customer contracts","Клиентские контракты",,
"Daily planned charge in a month in an average per employee","Среднемесячная дневная нагрузка на одного сотрудника",,
"Daily planned charge in a month per employee","Ежемесячная ежедневная нагрузка на сотрудника",,
"Daily planned charge in a month per project","Ежемесячная ежедневная плата за проект",,
"Date",,,
"Date or frequency changed","Измененная дата или частота",,
"Dates",,,
"Deadline","Срок платежа",,
"Deadline Today","Увольнение сегодня",,
"Deadline Tomorrow","Выезд завтра",,
"Deadline Yesterday","Вчерашнее увольнение",,
"Decimal","Десятичный",,
"Default percentage","Процент по умолчанию",,
"Default priorities","Приоритеты по умолчанию",,
"Default sites","Сайты по умолчанию",,
"Default task status","Статус задач по умолчанию",,
"Delay to start (Hours)","Время начала (часы)",,
"Delete Permanently","Удалить навсегда",,
"Delete Section","Удалить раздел ?",,
"Delete Task","Удалить задачу",,
"Delete task btn","кнопка Удалить задачу",,
"Description",,,
"Details","Детализация",,
"Due Date","Срок платежа",,
"Due next week","Запланировано на следующую неделю",,
"Due this week","запланировано на эту неделю",,
"Duplicate task","Удвоить выполнение задачи",,
"Duration (Hours)","Продолжительность (Часы)",,
"Duration hours","Продолжительность (Часы)",,
"Employee","Сотрудник",,
"Enable Gantt view","Включить представление Ганта",,
"Enable Kanban view per section","Включить просмотр канбан по разделам",,
"Enable Kanban view per status","Включить просмотр канбан по статусу",,
"Enable calendar view per section","Включить просмотр календаря по разделам",,
"Enable calendar view per status","Включить просмотр календаря по статусу",,
"Enable calendar view per user","Включить просмотр календаря для каждого пользователя",,
"Enable per project task sequence","Включить управление последовательностью для каждой задачи проекта",,
"Enable site management for project","управление сайтами для проектов",,
"Enable task signature","Включить подпись задачи",,
"Estimated time","Расчетное время",,
"Estimated time (in hours)","Расчетное время (в часах)",,
"Expense lines","Строки примечания к расходам",,
"Expenses","Примечания к расходам",,
"Extends members from parent","Наследование от участников родительского проекта",,
"Fields to display","Отображаемые поля (поля) ",,
"Find a task","Поиск задачи",,
"Finish","Завершить",,
"Finish tasks to finish","пожалуйста, завершите задачи, чтобы завершить",,
"Finish tasks to start","пожалуйста, завершите задачи, чтобы начать",,
"First","Премьер",,
"Folder","Папка",,
"Follow-up","Мониторинг",,
"Followers",,,
"Frequency","Частота",,
"Frequency end date cannot be before task date.","Дата окончания частоты не может быть более ранней, чем дата выполнения задачи.",,
"From","С",,
"From Date",,,
"From date","даты",,
"Full name could not be computed, please check the groovy formula.","""Полное имя не удалось вычислить, пожалуйста, проверьте формулу groovy"".",,
"Full name groovy formula","Отличная формула полного имени",,
"Full screen","Полноэкранный режим",,
"Gantt",,,
"Gantt with project","Гант на проект",,
"Gantt with user","Гант на пользователя",,
"Gen proj type per order line","Тип элемента, сгенерированный с помощью командной строки",,
"Generate project configurations","Сгенерировать конфигурацию проектов",,
"Generate quotation","сгенерировать смету",,
"Generate sequence for project","сгенерировать последовательность для проектов",,
"Generated project","Сгенерированный проект",,
"High","Верхняя Гаронна",,
"HoldBack","Сдержанность",,
"HoldBack line","Линия удержания",,
"HoldBack product",,,
"HoldBacks","Удерживающий продукт удерживаемый",,
"HoldBacks lines","Линии удержания",,
"Image",,,
"Import all members","Импортировать всех участников",,
"Imputable","Оплачивается по табелям учета рабочего времени",,
"Imputable to HR timesheets","Оплачивается по расписанию отдела кадров",,
"Include","Включать",,
"Include sub context projects","Включите проекты ниже",,
"Incomplete tasks","Незавершенные задачи",,
"Integer","Целое",,
"Internal Description","число внутреннее описание",,
"Invalid model name","Неверное имя модели",,
"Invalid selection name","Недопустимое имя выделения",,
"Invoices","Счет-фактуры",,
"Invoicing","Выставление счетов",,
"Invoicing unit","Платежная единица",,
"Is unique task for multiple quantity","Является разовой задачей для нескольких количеств",,
"Issue tracking","Управление аномалиями",,
"Just my tasks","Только мои задачи",,
"Last status","Последний статус",,
"Last updated on","Последнее обновление",,
"Latest News","последние новости",,
"Load more","Показать еще",,
"Log Times","Прошедшие времена",,
"Log time","Прошедшее время",,
"Low","Бас",,
"Make a subtask of","Выполнить подзадачу",,
"Make this task a subtask of another project task",", чтобы сделать эту задачу подзадачей другой задачи в проекте",,
"Manage lines","управление строками",,
"Mark Complete","перейти к завершению",,
"Mark Incomplete","Изменить на незавершенный",,
"Members","Члены",,
"Membres","Члены",,
"Message",,,
"MultiSelect","Множественный выбор",,
"My open tasks","Мои открытые задачи",,
"My projects","Мои проекты",,
"My tasks due","Мои просроченные задания",,
"My tasks to do","Мои текущие задачи",,
"My today planning","Мое расписание на день",,
"My topics","Мои темы",,
"My upcoming planning","Мое предстоящее расписание",,
"Name","имя",,
"New Task","новая задача",,
"New task","новая задача",,
"New ticket","новый билет",,
"New topics","Новая тема",,
"Next >>","Следующий >>",,
"Next project sequence","Следующая последовательность проекта",,
"Next task","Следующая задача",,
