"key","message","comment","context"
"50 Latest Supplier Orders","50 последних заказов клиентов",,
"A tax line is missing","Отсутствует строка налога",,
"ABC analysis","Классификация ABC",,
"ATI",,,
"AbcAnalysis.endDate","Дата окончания : ",,
"AbcAnalysis.startDate","Дата начала : ",,
"Accept","Принимать",,
"Accepted","Принятый",,
"Actions",,,
"Add","Добавить",,
"Advance payment A.T.I. total",,,
"Advance payment total",,,
"Amount","Сумма",,
"Amount A.T.I.","сумма T. T. C.",,
"Amount Tax","сумма налога",,
"Amount invoiced W.T.","сумма выставленного счета H. T.",,
"Amount to be spread over the timetable","сумма, подлежащая распределению по таблице",,
"Analytic distribution","Аналитическое распределение",,
"Analytic distribution required on purchase order line","Требовать аналитическую модель диспетчеризации в командных строках",,
"App",,,
"App purchase","Покупки В Приложении",,
"Back to validated order","Вернуться к подтвержденному статусу",,
"Base W.T.","База Данных H. T.",,
"Business Project","Дело",,
"Business project","Одежда",,
"Buyer","Покупатель",,
"Calculated price/Qty","рассчитал цену/количество",,
"Can not cancel already canceled purchase request.","Вы не можете отменить уже отмененный запрос на покупку.",,
"Can only accept requested purchase request.","Вы можете принять только ""запрошенный"" запрос на покупку.",,
"Can only cancel drafted, requested or validated purchase order.","""Вы можете отменить только черновые, запрошенные или подтвержденные заказы на покупку"".",,
"Can only finish validated purchase order.","Вы можете выполнять только подтвержденные заказы на покупку.",,
"Can only purchase accepted purchase request.","Вы можете покупать только по принятым заявкам на покупку.",,
"Can only refuse requested purchase request.","Вы можете отклонить только запрошенный запрос на покупку.",,
"Can only request drafted purchase order.","Вы можете запросить только черновой заказ на покупку.",,
"Can only request drafted purchase request.","Вы можете запросить только черновой запрос на покупку.",,
"Can only return to draft from canceled purchase request.","Вы можете вернуться к черновому статусу только после того, как запрос был отменен",,
"Can only return to draft from cancelled purchase order.","Вы можете вернуться к черновому статусу только после отмененного заказа",,
"Can only validate requested purchase order.","Вы можете подтвердить только запрошенный заказ на покупку.",,
"Cancel","Отменить",,
"Cancel receipt","Отменить прием",,
"Canceled","Отмененный",,
"Characteristics","Характеристики",,
"ChartPO.saleOrder","заказы",,
"Closed Purchase orders","заказы закрытых поставщиков",,
"Code",,,
"Company","Компания",,
"Company bank","Компания RIB",,
"Company currency",,,
"Configuration",,,
"Confirm","Подтвердить",,
"Confirm merge purchase order","подтвердить слияние заказов",,
"Confirmation",,,
"Contact","Контакт",,
"Contact partner","Контакт",,
"Contacts",,,
"Content","Содержимое",,
"Currency","Валюта",,
"Current purchase quotations / orders","Текущее предложение / заказы на поставку",,
"Dashboard","Приборная доска",,
"Dates",,,
"Default unit",,,
"Delivery","Поставка",,
"Description","Описание",,
"Description To Display","Описание для отображения",,
"Desired receipt date","Желаемая дата получения",,
"Discount amount","Сумма скидки",,
"Discount rate","Ставка со скидкой",,
"Discount type","Тип скидки",,
"Display buyer on printing","Показать покупателю на распечатке",,
"Display price on requested purchase printing","Показывать цены по запросу котировки",,
"Display product code on printing","Показать код продукта на распечатке",,
"Display product detail on printing","Показать подробную информацию о продуктах на распечатке",,
