"key","message","comment","context"
"0",,,
"1",,,
"2",,,
"3",,,
"4",,,
"5",,,
"Acceptance","Принятие",,
"Acceptance required","Требуется принятие",,
"Accepted","Принятый",,
"Accepted quantity","Принятое количество",,
"Action","Действие",,
"Action distribution sequence","Последовательность трансляции действия",,
"Action distribution template","Модель распространения действия",,
"Action plan","План действий",,
"Action proposed","Предлагаемые действия",,
"Actions",,,
"Add optional control points","Добавить дополнительные контрольные точки",,
"Advancement","Прогресс",,
"Alert calendar","Календарь предупреждений",,
"All fields related to the order will be reset, continue ?","Все поля в заказе будут сброшены, вы хотите продолжить ?",,
"Analysis","Анализ",,
"Analysis Method","Метод анализа",,
"Analysis costs","Анализ затрат",,
"Analysis method line","Строки метода анализа",,
"Analysis method lines","Строки метода анализа",,
"Analysis methods","Методы анализа",,
"Answer comment","Комментарий к ответу",,
"Answer required","Требуемый ответ",,
"Answered by","Ответил По",,
"Answered on","ответил на",,
"App",,,
"App quality","Качество приложения",,
"Applicable",,,
"Automatic mail by completing quality control","Автоматическая отправка электронной почты после завершения проверки качества",,
"Branch","Подключенный",,
"Calendar","Календарь",,
"Cancel","Отменить",,
"Canceled","Отмененный",,
"Cancelled Status","Статус отменен",,
"Cancelled status already exists.","Отмененный статус уже существует.",,
"Causal analysis","Причинно-следственный анализ",,
"Cause","причина",,
"Cause analysis","Анализ причин",,
"Causes","причины",,
"Causes written by","Причины, написанные написанными",,
"Causes written on","причинами",,
"Changing this value will change value of product, continue ?","изменение этого значения изменит стоимость продукта. Продолжать ?",,
"Characteristic","Характеристика",,
"Characteristic or sample does not belong to this control entry.","Характеристика или образец не входят в эту контрольную ведомость.",,
"Check","Проверка",,
"Check conformity",,,
"Choose quality process","Выбор качественного процесса",,
"Close","Закрыть",,
"Closed Status","Статус закрыт",,
"Closed status already exists.","Закрытый статус уже существует.",,
"Code","Код",,
"Coefficient","Коэффициент",,
"Company","Компания",,
"Compliant","Соответствующий",,
"Configuration",,,
"Configurations by company","Конфигурации по компаниям",,
"Confirm","Подтвердить",,
"Confirmed","Подтверждено",,
"Conformity","Соответствие",,
"Conformity formula can not be fetched",,,
"Contact",,,
"Control Frequency","Частота управления",,
"Control Points","Контрольные точки",,
"Control comment","Комментарий от управления",,
"Control entries","Отчеты о проверке",,
"Control entry","Отчет о проверке",,
"Control entry sample","Отбор проб",,
"Control entry sample line","Линия отбора проб",,
"Control entry sample lines","Линии отбора проб",,
"Control entry samples","Платежи",,
"Control plan","Диапазон управления",,
"Control plan characteristics","Характеристики управления",,
"Control plan frequencies","частоты управления",,
"Control plan frequency","частота управления",,
"Control plan line","Линия ряда контроля",,
"Control plan line characteristics","Характеристики управления",,
"Control plan lines","Линии диапазона управления",,
"Control plans","диапазоны управления",,
"Control point","Контрольная точка",,
"Control point list","Список контрольных точек",,
