"key","message","comment","context"
"%s : You must configure Sales module for company %s","%s : пожалуйста"," настройте модуль продаж для компании %s",
"+",,,
"A JavaScript boolean expression against the current form values.","Логическое выражение JavaScript для проверки соответствия введенного пользователем значения ожиданиям.",,
"A cancel reason must be selected",,,
"ABC analysis","Классификация ABC",,
"ATI","с учетом НДС",,
"AbcAnalysis.endDate","Дата окончания : ",,
"AbcAnalysis.startDate","Дата начала : ",,
"Accepted Credit","Принятая непогашенная сумма",,
"Access to parent sale order","Доступ к родительскому заказу",,
"Accounted Revenue","C. A. учитывается",,
"Accounting Family sale turnover (Excl. Tax) per month","CA H. T. на семью бухгалтеров в месяц",,
"Action","Действие",,
"Actions","Действия",,
"Activate","Включить",,
"Activate multi-level sale order lines","Включить многоуровневые строки заказов на покупку",,
"Activate past versions recovery","Включить восстановление прошлых версий",,
"Actual version overwritten.","Текущая версия перезаписана",,
"Actual version saved, past version recovered.","""Текущая версия сохранена, предыдущая версия восстановлена"".",,
"Add Line from Configurator","Добавить строку с помощью конфигуратора",,
"Add Pack","Добавить пакет",,
"Add a new element","Добавить новый элемент",,
"Add a pack","Добавить пакет",,
"Adv. payment amount","Сумма первоначального взноса",,
"Advance Payment","Авансовый платеж",,
"Advance Payments","Авансовый платеж",,
"Advance payment A.T.I. total","Общая сумма первоначального взноса включая НДС",,
"Advance payment amount needed","Необходимый первоначальный взнос",,
"Advance payment needed","Требуется первоначальный взнос",,
"Advance payment total","Общая сумма первоначального взноса включая НДС",,
"Advance payments","Авансовые",,
"All customer credit will be updated.","платежи все непогашенные суммы будут обновлены.",,
"Allocate","Выделить",,
"Allocate all","Выделить все",,
"Allocated stock","Выделенный запас",,
"Allow pending order modification","Разрешить подтвержденное изменение заказа",,
"Amount","Сумма",,
"Amount A.T.I.","сумма T. T. C.",,
"Amount Tax","сумма налога",,
"Amount invoiced W.T.","сумма выставленного счета HT",,
"Amount to be spread over the timetable","Оставшаяся сумма подлежащая распределению по графику",,
"An attribute with the same name already exists.","Атрибут с таким же именем уже существует.",,
"Analytic distribution","Аналитическое распределение",,
"Analytic distribution required on sale order line","Требовать аналитическую модель диспетчеризации в командных строках",,
"App",,,
"App sale","Продажи Приложений",,
"At least one sale order line has a stock move with availability request.","Для этого заказа существует как минимум один BL с запросом на предоставление.",,
"Attributes","Атрибуты",,
"Authorizations","Разрешения",,
"Authorized groups","Разрешенные группы",,
"Authorized users","Авторизованные пользователи",,
"Availability Request","Запрос на предоставление в распоряжение",,
"Availability request","Запрос на доступность",,
"Available stock","Наличный запас",,
"Average margin rate","Средняя ставка по бренду средняя",,
"Average margin rate per customer","ставка по бренду на клиента",,
"Average markup","Средняя",,
"Average markup per customer","ставка маржи средняя ставка маржи на клиента",,
"Average price","Средняя цена продажи",,
"Back to confirmed order","Вернуться к подтвержденному статусу",,
"Base W.T.","База Данных H. T.",,
"Batchs","Пакетная обработка",,
"Bi-monthly",,,
"Blocked","Заблокированный Раз В Два Месяца",,
"Business Project","Одежда",,
"Business project","Бизнес/Проект",,
"Calculated fields on configurator","Поля, вычисляемые в конфигураторе",,
"Can only cancel a drafted or finalized sale order.","Вы можете отменить только черновое или окончательное предложение.",,
"Can only complete a confirmed sale order.","Вы можете выполнить только подтвержденный заказ клиента.",,
"Can only confirm a finalized quotation.","Вы можете подтвердить только окончательную расценку.",,
"Can only finalize a drafted quotation.","Вы можете только доработать черновое предложение.",,
"Cancel","Отменить",,
"Cancel Reason","Причина отмены",,
"Cancel Reasons","Причины отмены",,
"Cancel reason","Причина отмены",,
"Cancel reservation","Отменить бронирование",,
"Canceled","Отмененный",,
"Cancellation",,,
"Cancellation confirmation","Подтверждение отмены бронирования",,
"Category","Категория",,
"Category sale turnover (Excl. Tax) per month","CA H. T. по категориям в месяц",,
"Change allocated qty","Изменить выделенное количество",,
"Change requested reserved qty","Изменить запрос на зарезервированное количество",,
"Changes were made to the configurator creator. Please activate the configurator creator to use it.","Эта модель была изменена. Пожалуйста, включите его снова, чтобы использовать.",,
"Characteristics","Характеристики",,
"Check the script","Проверьте сценарий",,
"Children",,,
"Client box in sale order","Рамка для клиента на заказ",,
"Client is sale blocked:","Этот клиент заблокирован для продаж",,
"Close opportunity when one of the linked sale orders is confirmed","Закрыть возможность при подтверждении одного из связанных заказов",,
"Code","Код",,
"Coefficient on invoice line must be enabled for progress billing.","Коэффициенты в строках счета-фактуры должны быть включены для счета-фактуры по мере поступления.",,
"Comment","Комментарии",,
"Comment to display","Комментарий к показу",,
