"key","message","comment","context"
"${fullName} plan. st. move","${полное имя} mvt. st.план.",,
"${fullName} real st. move","${полное имя} реальный mvt. st. ",,
"%) on the WAP of","% изменения) на PMP",,
"%s Reverse stock move (From %s)","%s обратить вспять движение акций (%s)",,
"0.00",,,
"0.50",,,
"1.00",,,
"1.50",,,
"2.00",,,
"2.50",,,
"3.00",,,
"3.50",,,
"4.00",,,
"4.50",,,
"5.00",,,
"<><Badge bg=""warning"">Warning : Delivery address is missing.</Badge></>","""<><Значок bg= """"предупреждение"" "">Внимание : отсутствует адрес доставки< / значок></> """,,
"<B>%s or %s</B> not found","<B>%s или %s</B> не найден",,
"A cancel reason must be selected","Должна быть выбрана причина отмены.",,
"A partial stock move has been generated (%s)","Было сгенерировано частичное движение запасов (%с)",,
"ABC analysis","Классификация ABC",,
"AbcAnalysis.stockLocation","Расположение запаса : ",,
"Account selection to carrier","Выбор учетной записи у",,
"Accounting family","семейного бухгалтера перевозчика",,
"Accounting value","Балансовая стоимость",,
"Action",,,
"Actions",,,
"Activate bar code generation for stock location","Включить генерацию штрих-кода для складских помещений",,
"Activate bar code generation for tracking number","Включить генерацию штрих-кода для номеров отслеживания",,
"Add","Добавить",,
"Address","Адрес",,
"Alert","Оповещение",,
"All storable products used in DEB must have net mass and mass unit information for customs.","Все товары, подлежащие хранению в соответствии с DEB, должны иметь массу нетто и единицу таможенной массы.",,
"Allocate","Выделить",,
"Allocate all","Выделить все",,
"Allocations of costs","Распределение издержек",,
"An error occurred while importing the file data, product not found with code :","Произошла ошибка при импорте, нет сохраняемых продуктов с кодом",,
"An error occurred while importing the file data, there are multiple products with code :","При импорте произошла ошибка : существует более одного продукта, имеющего код",,
"An error occurred while importing the file data. Please contact your application administrator to check Traceback logs.","При импорте произошла ошибка. Пожалуйста, свяжитесь с администратором.",,
"An incoming partial stock move has been generated (%s)","Был сгенерирован оставшийся BR (%с)",,
"An outgoing partial stock move has been generated (%s)","Был сгенерирован оставшийся BL (%с)",,
"App",,,
"App base",,,
"App stock","Запасы Приложений",,
"Archived",,,
"Are you sure you want to change status to  ""Collected "" ?","""Вы подтверждаете переход в статус ""удален""?""",,
"Are you sure you want to go back to provision ?","Вы уверены, что хотите вернуться к доступному варианту ?",,
"Are you sure you want to realize this stock move?","Подтвердить достижение этого движения акций ?",,
"Are you sure you want to validate the carrier?","Вы уверены, что хотите подтвердить перевозчика ?",,
"Arrival product qty","Количество полученных продуктов",,
"Arrivals","Рецепции",,
"Arrivals History","Исторические приемы",,
"Auto product tracking Nbr. order","Автоматический выбор номера для отслеживания при производстве",,
"Auto sale tracking Nbr. order","Автоматический выбор серийного номера продаж",,
"Auto select product tracking Nbr.","Автоматический выбор номера для отслеживания при производстве",,
"Auto select sale tracking Nbr.","Автоматический выбор серийного",,
"Av. for product","номера отдела продаж для продукта",,
"Availability","Резерв",,
"Availability request","Запрос на предоставление в распоряжение.",,
"Available","Свободный",,
"Available qty","Доступное количество",,
"Available qty for product","Доступное количество в расчете на один продукт",,
"Available status","Резерв",,
"Average","Среднее",,
"Average Price","Средневзвешенная цена",,
"Avg outgoing quantity on 12 past months (One-off sale excluded)","Среднее количество проданных товаров за последние 12 месяцев (исключая единовременные продажи)",,
"Back to provision","Вернуться к доступному",,
"Backorder","Остаток",,
"Backorder Id","Идентификатор Реликвии",,
"Backorder Stock Move","МВт. Со склада (остаток)",,
"Bad stock move type","Неправильный тип МВт. фонд.",,
"Barcode",,,
"Barcode Type",,,
"Barter","Бартер",,
"Batchs",,,
"Both source location address and delivery (to) address are required to define the delivery itinerary","Поля местоположение источника и адрес необходимы для определения маршрута доставки.",,
