"key","message","comment","context"
"Accept","Принимать",,
"Accepted","Принятый",,
"Actions","Действия",,
"Available qty","Доступное количество",,
"Cancel","Отменить",,
"Canceled","Отмененный",,
"Comments","Комментарии",,
"Estim. delivery date","Дата доставки. Считанная",,
"Generate all suppliers requests","Генерировать все запросы поставщикам",,
"Generate suppliers purchase orders","генерировать заказы поставщикам",,
"Initial purchase order","Начальный Cmde",,
"Manage supplier consultations","Управление консультациями с поставщиками",,
"Not accept","Не сдерживаться",,
"Not accepted",,,
"Ordered quantity","Заказанное количество не удержано",,
"Purchase order","заказ на закупку",,
"Purchase order Details","Информация о заказе на покупку",,
"Request","Спрашивать",,
"Requested","Спросил",,
"Show suppliers purchase orders","Связанные заказы на поставку",,
"State","Статус",,
"Submitted","Представленный (е)",,
"Supplier","Поставщик",,
"Supplier RFQ/PO","DV / Cmde Печи.",,
"Supplier consultations","Консультации с поставщиком",,
"Supplier request","Покупательский спрос",,
"Supplier's consulting's request created","Создан запрос на консультации",,
"Suppliers orders' generation over","с поставщиками генерация котировок поставщиков завершена",,
"Suppliers purchase","Закупки поставщики",,
"Suppliers requests","Заявки на покупку",,
"Tools","Инструмент",,
"Unit price","Цена за единицу",,
"WARNING : To Date must be after or equals to From Date","Внимание : дата окончания должна быть равна или больше, чем дата начала",,
"Write to the supplier","Написать поставщику",,
"suppliers requests","Запросы предложений поставщиков",,
