"key","message","comment","context"
"Add on catalog","Добавить в каталог",,
"All my invoices","все мои счета",,
"Allow supplier to create products","Разрешить поставщику создавать продукты",,
"App",,,
"App Supplier Portal","Поставщик портала приложений",,
"App supplier portal",,,
"Awaiting invoice","В ожидании оплаты",,
"Awaiting invoices","В ожидании оплаты",,
"Catalog","Каталог",,
"Code",,,
"Create new product","Создать новый продукт",,
"Deliveries to prepare","Поставки для подготовки",,
"Delivery","Поставка",,
"Description",,,
"Display product catalog","Просмотреть каталог продукции",,
"Displaying module portal",,,
"Due date","Срок платежа",,
"Invoice","Счет-фактура",,
"Invoice date","Дата выставления счета-фактуры",,
"Invoice supplier","Счет-фактура поставщика",,
"Invoicing","Выставление счетов",,
"Last delivery","Последняя доставка",,
"Last order","Последний заказ",,
"Manage delivery","управление поставками",,
"Manage invoices","управление счетами",,
"Manage purchase orders","Управление заказами поставщиков",,
"My deliveries","Мои поставки",,
"My invoices","Мои счета",,
"My purchase orders","Мои заказы на поставку",,
"My space","Мое пространство",,
"Name","имен",,
"Next delivery","следующая доставка",,
"None",,,
"Orders","Команды",,
"Overdue invoices","Просроченный платеж",,
"Partner","Третье сословие",,
"Picture","Изображение",,
"Please download a PDF file for invoice.","Пожалуйста, сохраните счет-фактуру в формате PDF.",,
"Product","Продукт",,
"Product created","Продукт создает",,
"Product has no code.","У продукта нет кода.",,
"Product has no name.","У продукта нет названия.",,
"Product supplier","Поставщик продукта",,
"Purchase currency","Валюта поставщика",,
"Purchase order","Заказ от поставщика",,
"Purchase orders","Заказы поставщиков",,
"Purchase price W.T.","Цена покупки HT",,
"Purchase unit","Подразделение поставщика",,
"Quotation In Progress","Текущее предложение",,
"Quotation in progress","Текущее предложение",,
"Receipt date","Дата получения",,
"Stock move","движение запаса",,
"Stock move information","Информация о движении запасов",,
"Stock move line","Линия движения запаса",,
"Stock move lines","Линии движения запаса",,
"Stock move reference","ссылка движение запаса",,
"Stock moves","движения запаса",,
"The code is already in database. Please choose another one.","Код уже существует. Пожалуйста, выберите другой код.",,
"Total remaining","Итого, остаток",,
"value:Supplier Portal","Портал поставщиков",,
