"key","message","comment","context"
"${fullName} plan. st. move","${полное имя} mvt. запланированный запас",,
"${product.fullName} plan. st. move","${product. fullName} mvt. запланированный запас",,
"${product.fullName} real st. move","${product. fullName} MVT. реализованный запас",,
"${product.fullName} reserved","${product. fullName} выделено",,
"%","%",,
"%d order invoiced successfully,","%d заказ успешно выставлен,",,
"%d orders invoiced successfully,"," %d заказы успешно выставлены,",,
"%d outgoing stock move processed successfully,",,,
"%d outgoing stock moves processed successfully,","""%d BL успешно обработан"", """,,
"%s : The advance payment generation failed. Please configure the bank details for the company %s and the associated payment mode %s either on the payment mode side or this Sale order %s record (hidden field).","%d BL успешно обработан"", %s : не удалось сгенерировать первоначальный взнос. Пожалуйста, настройте RIB для компании %s и для связанного способа оплаты %s либо непосредственно на уровне способа оплаты, либо на уровне заказа клиента %s (скрытое поле).",,
"%s blocked : maximal accepted credit exceeded for %s.","% s заблокирован : превышен максимально допустимый остаток по котировке %s.",,
"%s please configure a virtual supplier stock location for the company %s","%s пожалуйста, настройте Виртуальный склад поставщика для компании %s",,
"%s purchase order","%S в заказе на поставку",,
"%s requested reserved","%s запрошено в бронировании",,
"%s sale order","%s в заказе на поставку",,
"%s stock location","%s в наличии на складе",,
"A list of all product categories for which to run the batch (children categories are automatically included). All products will be processed if this list is left empty (note that the batch may take a long time to run if you have a lot of products).","Список всех категорий продуктов, для которых необходимо запустить пакет (подкатегории будут добавлены автоматически). Все продукты будут обработаны, если этот список будет оставлен пустым (обратите внимание, что обработка может занять много времени, если у вас много продуктов).",,
"A list of sale order lines that will be processed. The lines that can be selected are the ones conforming to the following conditions :\nProduct is storable\nProduct is managed in stock\nProduct is not excluded from mrp\nSale order/quotation has the same stockLocation or a subLocation\nIf MPS, product must be a finished product\nDelivered quantity of the line must be lower than total quantity\nThe line must conform to one or several of the mrp move types","Список строк предложения о продаже, которые будут обработаны. Строки, которые могут быть выбраны,-это те, которые удовлетворяют следующим условиям :\ппродукт доступен для хранения\ппродукт хранится на складе\ппродукт не исключен из CBN\предложение/заказ на продажу должны быть в том же месте на складе или в подпространстве\песли PDP, продукт должен быть на складе, а не на складе. готовый продукт \ пколичество, доставляемое с линии, должно быть меньше, чем общее количество \ Плиния должна соответствовать хотя бы одному из типов незавершенного производства",,
"A supplier partner must be selected","Должен быть выбран поставщик",,
"Accepted Credit","Принятая непогашенная сумма",,
"Account configuration",,,
"Accounting Batch",,,
