"key","message","comment","context"
"+10 years","+10 лет",,
"0 %",,,
"0-2 years","0-2 года",,
"10 %",,,
"100 %",,,
"2-5 years","2-5 лет",,
"20 %",,,
"30 %",,,
"40 %",,,
"5-10 years","5-10 лет",,
"50 %",,,
"60 %",,,
"70 %",,,
"80 %",,,
"90 %",,,
"<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />",,,
"A new employee form will be created. Do you confirm the creation ?","Будет создана новая учетная запись сотрудника. Вы подтверждаете создание ?",,
"Address","Направляет",,
"All applications","все заявки",,
"All trainings","на все тренинги",,
"App",,,
"App recruitment",,,
"Application Information","Информация о заявке",,
"Applications","Заявка",,
"Applied :","Постулированный :",,
"Applied job","Вакансия",,
"Appraisal","Оценка",,
"Appraisal cancelled","Оценка отменена",,
"Appraisal draft","Черновая оценка",,
"Appraisal filters","Фильтры оценки",,
"Appraisal realized","Проведенная оценка",,
"Appraisal sent","Отправленная оценка",,
"Appraisal template","Модель оценки",,
"Appraisal templates","Модели оценок",,
"Appraisal type","Тип оценки",,
"Appraisal types","Тип оценок",,
"Appraisals","Расчетные данные",,
"Appreciation","Признательность",,
"Availability from","Резерв",,
"Business sectors","Направления деятельности",,
"Cadre",,,
"Calendar","Календарь",,
"Cancel","Отменить",,
"Cancel session","Отменить обучение",,
"Canceled","Отмененный",,
"Categories","Категории","Training's categories (for ex. Technical, functional trainings...)",
"Category","Категория",,
"Clearance","Разрешение",,
"Close","Закрыть",,
"Closed","Закрывшая",,
"Closed job offers","Закрытые вакансии",,
"Code",,,
"Company","Компания",,
"Competence certificate","Свидетельство о компетенции",,
"Complete session","Реализовать обучение",,
"Completed","Реализованный",,
"Completed trainings of all employees of a team","Завершенные оценки моей команды",,
"Configuration","Конфигурация",,
"Contact",,,
"Contact details","Координаты",,
"Contract","Контракт",,
"Contract type","Тип контракта",,
"Create","создать",,
"Create Appraisal(Select Employees)","создать оценки (выбрать сотрудников)",,
"Create Appraisals","Создавать оценки",,
"Create Appraisals(Select Employees)","создавать оценки (выбирать сотрудников)",,
"Create a job application","Создать заявку",,
"Current job offers","Текущие вакансии",,
"Dashboard","Приборная доска",,
"Date of application","Дата подачи заявки",,
"Deadline","Предельный срок",,
"Department","Департамент",,
"Description","Описание",,
"Disposal",,,
"Dms file",,,
"Draft","Черновик",,
"Education level","Уровень степени",,
"Email",,,
"Employee","Сотрудник",,
"Employee hired","Нанятый сотрудник",,
"Employees","Служащие",,
"End of validity date",,,
"Event list","Список Событий",,
"Events","События",,
"Expected salary","Желаемая зарплата",,
"Experience","Опыт",,
"Fax",,,
"First name","Имя",,
"Fixed phone","Стационарный телефон",,
"From","С",,
"From date","даты начала",,
"Full name","Полное имя",,
"Graduation date","Дата получения",,
"Hire candidate","Нанять кандидата",,
"Hiring Stage","Этап набора персонала",,
"Hiring manager","Менеджер по найму",,
"Hiring stage","Этап набора персонала",,
"Hiring status","Статус найма",,
"Invalid dates. From date must be before to date.","Недействительные даты. Дата должна предшествовать дате до",,
"Is template","Модель ?",,
"Job Application","Заявка",,
"Job Position Filters","Фильтры вакансий",,
"Job application","Заявка",,
"Job applications","Заявки",,
"Job description","Описание предложения",,
"Job email","Электронное письмо с ответом на предложение о работе",,
"Job position","Вакансия",,
"Job positions","Вакансии",,
"Job reference","Ссылка на вакансию",,
"Job title","Название предложения",,
"JobApplication.resume","CV",,
"Last email sync id","Id последняя синхронизация. электронная почта ",,
"Last name","Фамилия семья",,
"Level of education","Уровень степени",,
"License","Лицензия",,
"LinkedIn profile","LinkedIn",,
"Location","Местоположение",,
"Mandatory training","Обязательное обучение",,
"Mass training register","регистрация на массовое обучение",,
"Meeting",,,
"Mobile phone","Мобильный Номер",,
"Month","Месяц",,
"My completed appraisals","Мои оценки завершены",,
